D_NAT,M일HAP,Q7A,Q7a_dk,Q7a2,Q7a3,Q7a4,Q7a5,Q7a6,Q7a7,Q7a8,D_GUB,D_MOK,총액1인TOT_개별국제교통비제외2,Q8a03,Q8a12,Q8_1a1,Q8_1a2,Q8_1a3,동행자유형,국가명,웰니스참여,웰니스만족,log_총액,year
3,6,2,,2.0,,,,,,,1,1,766.32,3.0,,15,3.0,1.0,가족,대만,1,1,6.6415998370746365,2024
3,5,2,,2.0,,,,,,,3,1,834.3,3.0,,3,2.0,1.0,가족,대만,1,1,6.726593049908029,2024
3,5,2,,2.0,,,5.0,6.0,7.0,,3,1,1112.4,3.0,,2,3.0,5.0,가족,대만,1,1,7.01427512235981,2024
1,4,1,1.0,,,,,,,,1,2,660.1743736842104,3.0,,11,1.0,3.0,혼자,중국,1,1,6.492504002676958,2024
3,7,2,,,,,,6.0,,,1,1,736.3774647887325,3.0,12.0,1,6.0,3.0,친구,대만,1,1,6.601742847028553,2024
3,5,2,,2.0,,,5.0,6.0,7.0,,3,1,1112.4,3.0,,7,1.0,2.0,가족,대만,1,0,7.01427512235981,2024
3,5,2,,,,,,6.0,7.0,,3,1,1143.3,3.0,,6,2.0,5.0,친구,대만,1,0,7.041674096547924,2024
3,4,2,,,,,,6.0,,,1,1,1202.1726315789474,3.0,,3,1.0,4.0,친구,대만,1,1,7.091885725064734,2024
3,4,2,,,,,,,7.0,,3,1,874.47,,12.0,6,5.0,1.0,직장동료,대만,1,0,6.773617988552892,2024
3,5,2,,2.0,,4.0,5.0,,,,3,1,957.8999999999999,3.0,,1,3.0,5.0,가족,대만,1,1,6.864743388388846,2024
3,4,2,,,,,,6.0,,,3,1,883.74,3.0,,1,3.0,6.0,친구,대만,1,1,6.784162901729506,2024
4,9,2,,,,,,6.0,,,1,1,666.6666666666666,3.0,,5,7.0,10.0,친구,미국,1,0,6.502290170873972,2024
3,4,2,,,,,,,7.0,,3,1,956.355,3.0,,16,6.0,7.0,직장동료,대만,1,0,6.863129183034305,2024
3,5,2,,,,,,6.0,,,1,1,642.7199999999999,3.0,,3,8.0,1.0,친구,대만,1,1,6.465709170610972,2024
2,4,2,,,,,,6.0,,,1,1,1046.9417475728155,,,4,1.0,2.0,친구,일본,0,0,6.953628571856446,2024
2,4,2,,,,,,6.0,,,1,1,617.5,3.0,,1,3.0,4.0,친구,일본,1,1,6.4256790685021326,2024
2,5,2,,,,,,6.0,,,1,2,432.25,,12.0,12,11.0,1.0,친구,일본,1,1,6.0690041245634,2024
2,5,2,,,,,,6.0,,,1,1,640.25,3.0,12.0,12,10.0,3.0,친구,일본,1,1,6.461858725079635,2024
2,4,2,,,,,,6.0,,,1,1,501.42857142857144,3.0,,1,11.0,2.0,친구,일본,1,0,6.217461167404598,2024
2,6,1,1.0,,,,,,,,1,2,552.5,,,4,13.0,,혼자,일본,0,0,6.314453433391908,2024
1,6,2,,,,,,6.0,,,1,1,628.764,3.0,,3,1.0,,친구,중국,1,1,6.443755987567647,2024
6,6,2,,,,,,6.0,,,1,1,1049.82592251816,3.0,,13,2.0,10.0,친구,태국,1,0,6.956379641329264,2024
6,14,2,,,,,5.0,,,,1,2,810.1420256111758,3.0,,2,3.0,10.0,가족,태국,1,1,6.697209572556888,2024
6,4,2,,,,,,,7.0,,3,1,816.0,3.0,,3,1.0,2.0,직장동료,태국,1,1,6.704414354964107,2024
6,4,2,,,,,,6.0,,,1,1,538.56,3.0,,3,1.0,11.0,친구,태국,1,1,6.288898911002441,2024
4,7,2,,,,,,6.0,,,1,1,1405.0,3.0,12.0,3,5.0,1.0,친구,미국,1,1,7.247792581767846,2024
7,15,2,,,3.0,,,,,,1,2,592.1217166666667,3.0,,3,4.0,5.0,가족,베트남,1,1,6.38371221622819,2024
7,5,2,,,,,,,7.0,,3,1,775.80029,3.0,,3,1.0,6.0,직장동료,베트남,1,1,6.653895128813479,2024
7,4,2,,,,,,6.0,,,1,1,569.1618950000001,,12.0,8,12.0,4.0,친구,베트남,1,1,6.344164919139936,2024
7,16,1,1.0,,,,,,,,1,2,826.7304207317073,3.0,12.0,2,15.0,11.0,혼자,베트남,1,0,6.717478669370053,2024
3,5,2,,,3.0,,5.0,,,,3,1,927.0,3.0,,5,3.0,2.0,가족,대만,1,1,6.831953565565855,2024
2,2,2,,,,,,6.0,,,1,1,527.3584905660377,3.0,,1,2.0,13.0,친구,일본,1,0,6.267880565031123,2024
2,3,2,,,,,,6.0,,,1,1,327.86764705882354,3.0,,3,2.0,1.0,친구,일본,1,1,5.79261001188547,2024
2,3,2,,,,,,6.0,,,1,1,307.7941176470588,3.0,,1,3.0,2.0,친구,일본,1,1,5.729431110263938,2024
18,21,2,,2.0,,,,,,,1,1,1377.0947368421052,3.0,,5,3.0,7.0,가족,독일,1,1,7.227731295811686,2024
3,5,2,,,,,,6.0,,,1,1,486.39516000000003,,,2,1.0,,친구,대만,0,0,6.187021379944555,2024
3,4,2,,,,4.0,,,,,2,1,2133.645,,,2,5.0,,가족,대만,0,0,7.665587063759001,2024
18,3,2,,2.0,,,,,,,1,1,327.06000000000006,,,1,,,가족,독일,0,0,5.790143640304245,2024
12,4,2,,2.0,,,,,,,1,2,945.0,3.0,,3,11.0,2.0,가족,중동,1,1,6.851184927493743,2024
16,3,1,1.0,,,,,,,,1,1,497.77475083056476,3.0,,3,2.0,5.0,혼자,영국,1,1,6.210147667133582,2024
4,11,2,,2.0,,,,,,,1,1,1122.8329809725158,3.0,,3,1.0,2.0,가족,미국,1,1,7.0236102179185576,2024
3,7,1,1.0,,,,,,,,1,2,494.40000000000003,,,4,1.0,2.0,혼자,대만,0,0,6.203344906143481,2024
18,7,2,,,,,5.0,,,,1,1,850.3559999999999,3.0,12.0,1,7.0,12.0,가족,독일,1,1,6.745655085331681,2024
18,9,2,,,,,,6.0,,,1,1,1195.2400286327845,3.0,,7,2.0,3.0,친구,독일,1,1,7.086102304976358,2024
18,22,2,,2.0,,,,,,,1,1,420.5057142857143,3.0,,3,20.0,16.0,가족,독일,1,1,6.04145806858515,2024
16,3,1,1.0,,,,,,,,1,1,601.8819999999998,,,2,1.0,11.0,혼자,영국,0,0,6.400061412806669,2024
18,8,2,,2.0,,,,,,,1,1,2060.4779999999996,3.0,,7,4.0,6.0,가족,독일,1,0,7.6306932737017314,2024
1,14,2,,2.0,,4.0,,,,,1,1,1700.7666666666662,,12.0,8,2.0,12.0,가족,중국,1,1,7.438834408775371,2024
18,8,1,1.0,,,,,,,,1,2,493.72229104477617,3.0,,3,11.0,1.0,혼자,독일,1,1,6.201973195237594,2024
16,8,1,1.0,,,,,,,,1,2,505.8370000000001,3.0,,5,3.0,,혼자,영국,1,1,6.2262144830036865,2024
1,10,1,1.0,,,,,,,,1,1,2185.715,3.0,,3,1.0,2.0,혼자,중국,1,1,7.689698285122546,2024
1,5,1,1.0,,,,,,,,1,1,3925.20819112628,3.0,,2,14.0,3.0,혼자,중국,1,1,8.275174671134982,2024
1,5,1,1.0,,,,,,,,1,1,1074.9505825242716,,,8,2.0,1.0,혼자,중국,0,0,6.980029969760259,2024
5,10,2,,,,,,6.0,,,1,1,2890.54,,,8,2.0,1.0,친구,홍콩,0,0,7.969198614863037,2024
1,5,2,,,,,,6.0,,,1,1,4619.65,3.0,,2,3.0,1.0,친구,중국,1,1,8.438074223630277,2024
5,7,2,,2.0,,,,,,,1,1,2042.3006410256414,3.0,,2,3.0,1.0,가족,홍콩,1,1,7.621832216597441,2024
4,15,2,,,,,5.0,,,,1,2,830.3921568627453,3.0,,2,4.0,3.0,가족,미국,1,1,6.721898067355875,2024
4,5,1,1.0,,,,,,,,1,1,750.0,3.0,,5,1.0,10.0,혼자,미국,1,0,6.620073206530356,2024
