F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75
1,1,10,11,11,11,2,11,11,11,3,,,,,,,,,,,,,,,,,14,,,,,2,3,,,,,,,,,,,,,,,,2,3,,,,,,5785.5,5785.5,5,525.954545454546,525.954545454546,5,4,4,4,11,4,97,1,3,3,2,1,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,,,,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1000,1000,1,90.9090909090909,90.9090909090909,2,4,5,3,8,3,15,2,5,3,2,1,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,,,,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,4049.85,4049.85,4,368.168181818182,368.168181818182,4,3,4,4,11,4,12,1,4,3,2,2,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,,,,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,4634.4,4634.4,4,421.309090909091,421.309090909091,4,5,5,5,10,4,13,2,5,3,2,2,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,,,,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,5000,5000,4,454.545454545455,454.545454545455,4,5,5,5,10,4,9,1,6,3,2,2,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,,,,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,5547.29,5547.29,5,504.299090909091,504.299090909091,5,4,4,4,12,4,97,1,3,3,2,1,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,,,,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,6000,6000,5,545.454545454546,545.454545454546,5,5,5,5,10,4,9,2,2,3,2,2,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,,,4,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1000,1000,1,90.9090909090909,90.9090909090909,2,5,5,5,11,4,97,1,3,3,2,1,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,,,4,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,5785.5,5785.5,5,525.954545454546,525.954545454546,5,4,5,4,11,4,11,1,3,3,2,1,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,,3,,,,,,,,,,,14,,,,,,,,,6,,,,,,,,,,,,,,,,5,,,,2000,2000,2,181.818181818182,181.818181818182,3,4,4,4,10,4,9,1,2,3,2,2,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,,3,4,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,2500,2500,3,227.272727272727,227.272727272727,3,5,5,5,10,4,9,1,3,3,2,1,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,2,,,,,,,,,,,,14,,,,,,,,,,,,,,,,13,,,,,,,,,,6,,,4000,4000,4,363.636363636364,363.636363636364,4,4,2,4,10,4,9,1,4,3,2,2,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,2,,,,,,,,,,,,14,,,,,,,4,,,,,,,,,,,,,,,,,4,,,,,3559.5,3559.5,4,323.590909090909,323.590909090909,4,4,3,3,7,3,12,2,2,3,2,1,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,2,,,,,,,,,,,,14,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,5000,5000,4,454.545454545455,454.545454545455,4,5,5,5,10,4,11,1,3,3,2,1,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,2,,,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,2264.2,2264.2,3,205.836363636364,205.836363636364,3,5,5,5,12,4,97,1,3,3,2,1,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,2,,,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,3000,3000,3,272.727272727273,272.727272727273,3,5,5,5,8,3,12,1,2,3,2,1,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,2,,,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,3000,3000,3,272.727272727273,272.727272727273,3,5,5,5,8,3,12,1,3,3,2,1,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,2,,,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,3471.3,3471.3,4,315.572727272727,315.572727272727,4,4,3,4,11,4,12,1,3,3,2,2,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,2,,,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,4400,4400,4,400,400,4,5,5,5,10,4,9,1,5,3,2,2,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,2,,,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,5460.8,5460.8,5,496.436363636364,496.436363636364,4,4,1,4,11,4,11,1,2,3,2,1,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,2,,,,,,,,,,,,14,,,,1,,3,,,,,,,,,,,,,,,1,,3,,,,,,13000,,6,1181.81818181818,,,5,5,5,10,4,9,2,2,3,2,2,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,2,,,,,,,,,,,,14,,,,1,,3,,,,,,,,,,,,,,,1,,3,,,,,,5900,5900,5,536.363636363636,536.363636363636,5,4,4,4,10,4,9,1,4,3,2,1,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,2,,,,,,,,,,,,14,,,,1,2,,,,,,,,,,,,,,,,1,2,,,,,,,3665.7,3665.7,4,333.245454545455,333.245454545455,4,4,5,4,6,2,12,1,4,3,2,1,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,2,,4,,,,,,,,,,14,,,,1,,,,,,,,,,,12,13,,,,,1,,,,,6,,,5000,5000,4,454.545454545455,454.545454545455,4,5,5,5,10,4,12,1,4,3,2,1,1,
1,1,10,11,11,11,2,11,11,11,3,,,,,2,3,,,,,,,,,,,14,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,6000,6000,5,545.454545454546,545.454545454546,5,5,5,5,10,4,9,1,4,3,2,2,1,
1,1,10,11,11,11,2,11,11,11,3,,,,1,,,,,,,,,,,,,14,,,,1,,,,5,,,,,,,,,,,,,1,,,,5,,,,3517.5,3517.5,4,319.772727272727,319.772727272727,4,5,5,5,4,2,97,1,4,3,2,1,1,
