F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63
1,1,4,,,,89,90,,12,1,7,,,,,,,,,,,,,,,,,,,,5,,,,4569,4569,6,,,5,4,1,2,10,11,14,,,,,,,,2,12,4,2,1,20,4,1,1
1,1,4,,,,90,91,,13,,1,2,,,,,,,,,,,,,,,1,2,,,,,,,5000,5000,6,,,5,,,,,,,,,,,,,,45,5,2,97,2,20,4,1,
1,1,4,,,,90,91,,13,,1,9,,,,,,,,,,,,,,,1,,,,,6,,,5466.5,5466.5,6,,,5,,,,,,,,,,,,,,29,5,2,97,1,20,4,1,
1,1,4,,,,90,91,,13,1,1,,,,,,,,,,,,,,,,1,,,,,,,,13707,,98,,,4,4,1,2,14,,,,,,,,,,2,12,4,2,1,20,4,1,1
1,1,4,,,,90,91,,13,1,1,,,,,,,,,,,,,,,,1,,,,,,,,1773.22256603038,1773.22256603038,4,,,4,4,1,2,14,,,,,,,,,,2,12,4,2,1,20,4,1,1
1,1,4,,,,90,91,,13,1,1,,,,,,,,,,,,,,,,1,,,,,,,,3382.65,3382.65,6,,,5,5,2,5,10,4,14,15,,,,,,,9,11,4,10,2,20,4,1,1
1,1,4,,,,90,91,,13,1,1,,,,,,,,,,,,,,,,1,,,,,,,,4329.52912041286,4329.52912041286,6,,,4,4,1,2,4,5,6,10,,,,,,,2,11,4,2,1,20,4,1,1
1,1,4,,,,90,91,,13,1,1,,,,,,,,,,,,,,,,1,,,,,,,,5330.5,5330.5,6,,,4,4,12,14,,,,,,,,,,,2,12,4,2,2,20,4,1,1
1,1,4,,,,90,91,,13,1,1,,,,,,,,,,,,,,,,1,,,,,,,,6092,6092,6,,,4,4,14,2,1,,,,,,,,,,2,12,4,2,2,20,4,1,1
1,1,4,,,,90,91,,13,1,1,,,,,,,,,,,,,,,,1,,,,,,,,9138,9138,6,,,5,4,2,6,3,1,7,10,14,,,,,,2,12,4,2,2,20,4,1,1
1,1,4,,,,90,91,,13,1,1,13,17,,,,,,,,,,,,,,1,,,,,6,,8,4000,4000,6,,,5,5,1,2,3,6,14,,,,,,,,49,12,4,97,2,20,4,1,1
1,1,4,,,,90,91,,13,1,1,16,,,,,,,,,,,,,,,1,,,,,,7,,6853.5,6853.5,6,,,4,4,14,1,2,,,,,,,,,,2,12,4,2,2,30,4,1,1
1,1,4,,,,90,91,,13,1,1,2,,,,,,,,,,,,,,,1,2,,,,,,,6000,6000,6,,,4,5,2,3,10,,,,,,,,,,8,12,4,9,2,20,4,1,1
1,1,4,,,,90,91,,13,1,1,4,13,,,,,,,,,,,,,,1,,,4,,6,,,5000,5000,6,,,5,5,2,4,7,14,,,,,,,,,8,12,4,9,2,20,4,1,1
1,1,4,,,,90,91,,13,1,14,,,,,,,,,,,,,,,,,,,,,,7,,1979.9,1979.9,4,,,4,4,1,14,,,,,,,,,,,2,12,4,2,2,20,4,1,1
1,1,4,,,,90,91,,13,1,15,,,,,,,,,,,,,,,,,,,,,,7,,1979.9,1979.9,4,,,5,5,2,5,1,14,,,,,,,,,2,12,4,2,1,20,4,1,1
1,1,4,,,,90,91,,13,1,15,,,,,,,,,,,,,,,,,,,,,,7,,2284.5,2284.5,5,,,5,5,2,1,14,,,,,,,,,,2,12,4,2,2,20,4,1,1
1,1,4,,,,90,91,,13,1,17,1,,,,,,,,,,,,,,,1,,,,,,,8,10204.1,,98,,,3,2,1,2,14,,,,,,,,,,2,12,4,2,1,20,4,1,1
1,1,4,,,,90,91,,13,1,2,,,,,,,,,,,,,,,,,2,,,,,,,5986,5986,6,,,2,1,2,6,14,,,,,,,,,,128,12,4,97,1,20,4,1,1
1,1,4,,,,90,91,,13,1,2,1,,,,,,,,,,,,,,,1,2,,,,,,,9899.5,9899.5,6,,,4,4,2,1,14,,,,,,,,,,2,12,4,2,1,20,4,1,1
1,1,4,,,,90,91,,13,1,7,5,,,,,,,,,,,,,,,,,,,5,,,,5131,5131,6,,,4,2,2,14,,,,,,,,,,,2,9,3,2,2,20,4,1,1
1,1,6,,,,20,21,21,11,,13,,,,,,,,,,,,,,,,,,,,,6,,,3000,3000,5,142.857142857143,2,5,,,,,,,,,,,,,,86,5,2,17,1,20,6,1,
1,1,6,,,,21,22,22,11,1,1,,,,,,,,,,,,,,,,1,,,,,,,,2605.4,2605.4,5,118.427272727273,2,5,5,16,,,,,,,,,,,,9,8,3,10,2,40,6,1,1
1,1,6,,,,40,41,41,11,1,1,,,,,,,,,,,,,,,,1,,,,,,,,3000,3000,5,73.1707317073171,1,5,5,16,,,,,,,,,,,,8,11,4,9,1,40,6,1,1
10,4,1,1,3,,90,91,,13,1,1,17,,,,,,,,,,,,,,,1,,,,,,,8,2540.65040650407,2540.65040650407,5,,,5,5,1,2,3,10,,,,,,,,,3,10,4,3,2,20,1,4,1
10,4,1,11,6,5,270,271,,13,,11,,,,,,,,,,,,,,,,,,,,,6,,,4657.85907859079,4657.85907859079,6,,,5,5,2,5,3,9,,,,,,,,,2,10,4,2,1,20,1,4,
10,4,1,2,,,89,90,,12,,1,3,,,,,,,,,,,,,,,1,,3,,,,,,2858.16946495068,2858.16946495068,5,,,5,,,,,,,,,,,,,,2,7,3,2,1,40,1,4,
10,4,1,2,10,3,149,150,,13,,1,,,,,,,,,,,,,,,,1,,,,,,,,1431,1431,3,,,4,4,1,2,3,12,,,,,,,,,2,8,3,2,1,20,1,4,
10,4,1,6,13,,63,64,,12,,1,,,,,,,,,,,,,,,,1,,,,,,,,5716.33892990135,5716.33892990135,6,,,4,,,,,,,,,,,,,,30,7,3,7,2,30,1,4,
10,4,2,1,2,,69,70,,12,1,2,,,,,,,,,,,,,,,,,2,,,,,,,4433.05641507594,4433.05641507594,6,,,5,5,2,1,,,,,,,,,,,2,12,4,2,1,30,2,4,1
10,4,2,1,2,3,29,30,30,11,1,1,,,,,,,,,,,,,,,,1,,,,,,,,1643.89867008598,1643.89867008598,4,54.7966223361992,1,4,4,1,2,3,,,,,,,,,,2,8,3,2,1,40,2,4,1
10,4,2,1,3,2,240,241,,13,1,1,2,3,,,,,,,,,,,,,,1,2,3,,,,,,761.5,761.5,2,,,4,4,3,1,,,,,,,,,,,2,12,4,2,1,40,2,4,1
10,4,2,1,7,10,149,150,,13,,1,2,3,,,,,,,,,,,,,,1,2,3,,,,,,2721.11021296689,2721.11021296689,5,,,4,,,,,,,,,,,,,,2,6,2,2,1,20,2,4,
10,4,2,11,,,120,121,,13,1,9,1,,,,,,,,,,,,,,,1,,,,,6,,,3737.5,3737.5,6,,,4,4,2,11,10,3,1,,,,,,,,2,11,4,2,2,30,2,4,1
10,4,2,13,,,150,151,,13,,1,,,,,,,,,,,,,,,,1,,,,,,,,2449.85954138629,2449.85954138629,5,,,5,,,,,,,,,,,,,,1,7,3,1,2,40,2,4,
10,4,2,13,,,150,151,,13,1,14,,,,,,,,,,,,,,,,,,,,,,7,,3665,3665,6,,,5,4,1,2,,,,,,,,,,,2,9,3,2,2,40,2,4,1
10,4,2,13,,,180,181,,13,,13,,,,,,,,,,,,,,,,,,,,,6,,,1392.6,1392.6,3,,,5,,,,,,,,,,,,,,1,6,2,1,2,50,2,4,
10,4,2,13,,,180,181,,13,,6,,,,,,,,,,,,,,,,,,,,5,,,,1600.65306645111,1600.65306645111,4,,,5,,,,,,,,,,,,,,1,6,2,1,2,50,2,4,
10,4,2,13,,,180,181,,13,1,5,,,,,,,,,,,,,,,,,,,,5,,,,4452,4452,6,,,4,4,2,11,,,,,,,,,,,2,10,4,2,2,30,2,4,1
10,4,2,13,,,180,181,,13,1,7,,,,,,,,,,,,,,,,,,,,5,,,,2839.8,2839.8,5,,,5,5,1,2,,,,,,,,,,,1,10,4,1,2,60,2,4,1
10,4,2,13,,,20,21,21,11,,2,,,,,,,,,,,,,,,,,2,,,,,,,795.6,795.6,2,37.8857142857143,1,4,,,,,,,,,,,,,,1,5,2,1,2,30,2,4,
10,4,2,13,,,20,21,21,11,,3,2,1,,,,,,,,,,,,,,1,2,3,,,,,,2449.85954138629,2449.85954138629,5,116.659978161252,2,5,,,,,,,,,,,,,,8,7,3,9,1,40,2,4,
10,4,2,13,,,21,22,22,11,,2,,,,,,,,,,,,,,,,,2,,,,,,,1202.94480889217,1202.94480889217,3,54.6793094950985,1,5,,,,,,,,,,,,,,1,5,2,1,2,40,2,4,
10,4,2,13,,,21,22,22,11,1,3,,,,,,,,,,,,,,,,,,3,,,,,,416.504,416.504,1,18.932,1,4,5,16,,,,,,,,,,,,1,10,4,1,2,50,2,4,1
10,4,2,13,,,210,211,,13,,1,,,,,,,,,,,,,,,,1,,,,,,,,1693.76693766938,1693.76693766938,4,,,4,4,1,,,,,,,,,,,,2,10,4,2,2,20,2,4,
10,4,2,13,,,210,211,,13,,1,,,,,,,,,,,,,,,,1,,,,,,,,8586,8586,6,,,4,4,1,2,,,,,,,,,,,2,8,3,2,1,30,2,4,
10,4,2,13,,,240,241,,13,,2,,,,,,,,,,,,,,,,,2,,,,,,,4234.41734417344,4234.41734417344,6,,,3,2,3,1,2,,,,,,,,,,2,10,4,2,2,20,2,4,
10,4,2,13,,,270,271,,13,,1,2,3,,,,,,,,,,,,,,1,2,3,,,,,,4811.5610197191,4811.5610197191,6,,,5,5,1,2,3,6,12,,,,,,,,2,9,3,2,2,20,2,4,
10,4,2,13,,,30,31,31,11,,1,,,,,,,,,,,,,,,,1,,,,,,,,4001.63266612778,4001.63266612778,6,129.084924713799,2,5,,,,,,,,,,,,,,8,6,2,9,2,60,2,4,
10,4,2,13,,,300,301,,13,,1,,,,,,,,,,,,,,,,1,,,,,,,,7420,7420,6,,,5,5,2,,,,,,,,,,,,2,10,4,2,2,50,2,4,
10,4,2,13,,,330,331,,13,,2,,,,,,,,,,,,,,,,,2,,,,,,,2242.5,2242.5,5,,,4,4,2,1,,,,,,,,,,,2,11,4,2,2,30,2,4,
10,4,2,13,,,364,365,,13,,1,,,,,,,,,,,,,,,,1,,,,,,,,8468.83468834688,8468.83468834688,6,,,5,5,1,2,10,,,,,,,,,,2,10,4,2,1,40,2,4,
10,4,2,13,,,364,365,,13,,2,,,,,,,,,,,,,,,,,2,,,,,,,16332.3969425753,,98,,,4,,,,,,,,,,,,,,2,7,3,2,2,30,2,4,
10,4,2,13,,,40,41,41,11,,9,,,,,,,,,,,,,,,,,,,,,6,,,1792.48,1792.48,4,43.7190243902439,1,4,,,,,,,,,,,,,,16,7,3,97,1,60,2,4,
10,4,2,13,,,40,41,41,11,1,9,,,,,,,,,,,,,,,,,,,,,6,,,1700.64,1700.64,4,41.4790243902439,1,5,5,2,10,,,,,,,,,,,1,9,3,1,2,40,2,4,1
10,4,2,13,,,43,44,44,11,1,1,,,,,,,,,,,,,,,,1,,,,,,,,2000,2000,4,45.4545454545455,1,4,5,2,3,,,,,,,,,,,8,10,4,9,1,30,2,4,1
10,4,2,13,,,50,51,51,11,,1,,,,,,,,,,,,,,,,1,,,,,,,,5000,5000,6,98.0392156862745,1,5,,,,,,,,,,,,,,8,6,2,9,2,50,2,4,
10,4,2,13,,,55,56,56,11,1,2,,,,,,,,,,,,,,,,,2,,,,,,,1693.76693766938,1693.76693766938,4,30.2458381726674,1,5,5,11,,,,,,,,,,,,9,10,4,10,1,30,2,4,1
10,4,2,13,,,60,61,,12,,1,,,,,,,,,,,,,,,,1,,,,,,,,3255.35,3255.35,6,,,5,,,,,,,,,,,,,,1,7,3,1,2,40,2,4,
10,4,2,13,,,60,61,,12,,2,,,,,,,,,,,,,,,,,2,,,,,,,186.02,186.02,1,,,5,,,,,,,,,,,,,,1,7,3,1,2,30,2,4,
10,4,2,13,,,60,61,,12,1,1,,,,,,,,,,,,,,,,1,,,,,,,,2834.4,2834.4,5,,,5,5,1,2,,,,,,,,,,,1,9,3,1,2,40,2,4,1
10,4,2,13,,,60,61,,12,1,1,,,,,,,,,,,,,,,,1,,,,,,,,2874.6,2874.6,5,,,5,5,1,2,,,,,,,,,,,1,12,4,1,2,20,2,4,1
10,4,2,13,,,60,61,,12,1,1,,,,,,,,,,,,,,,,1,,,,,,,,4329.52912041286,4329.52912041286,6,,,5,5,1,2,3,4,6,,,,,,,,10,11,4,11,1,20,2,4,1
10,4,2,13,,,60,61,,12,1,1,,,,,,,,,,,,,,,,1,,,,,,,,7752,7752,6,,,5,5,2,10,,,,,,,,,,,10,11,4,11,2,20,2,4,1
10,4,2,13,,,60,61,,12,1,6,,,,,,,,,,,,,,,,,,,,5,,,,3733.1076877131,3733.1076877131,6,,,5,5,2,,,,,,,,,,,,1,9,3,1,2,30,2,4,1
10,4,2,13,,,60,61,,12,1,7,,,,,,,,,,,,,,,,,,,,5,,,,2387.5,2387.5,5,,,5,5,2,10,11,,,,,,,,,,1,11,4,1,2,20,2,4,1
10,4,2,13,,,60,61,,12,1,9,12,13,10,,,,,,,,,,,,,,,,,,6,,,4433.05641507594,4433.05641507594,6,,,5,5,3,4,,,,,,,,,,,10,12,4,11,1,30,2,4,1
10,4,2,13,,,7,8,8,8,,1,,,,,,,,,,,,,,,,1,,,,,,,,2000,2000,4,250,3,5,,,,,,,,,,,,,,8,6,2,9,2,30,2,4,
10,4,2,13,,,70,71,,12,1,2,1,,,,,,,,,,,,,,,1,2,,,,,,,3000,3000,5,,,5,5,2,3,,,,,,,,,,,8,12,4,9,2,50,2,4,1
10,4,2,13,,,80,81,,12,1,1,,,,,,,,,,,,,,,,1,,,,,,,,4800,4800,6,,,5,5,2,,,,,,,,,,,,8,10,4,9,2,50,2,4,1
10,4,2,13,,,85,86,,12,1,1,17,,,,,,,,,,,,,,,1,,,,,,,8,6584.6,6584.6,6,,,5,5,3,1,16,,,,,,,,,,83,12,4,97,1,30,2,4,1
10,4,2,13,,,90,91,,13,,1,,,,,,,,,,,,,,,,1,,,,,,,,5202.12246596611,5202.12246596611,6,,,5,,,,,,,,,,,,,,1,6,2,1,2,30,2,4,
10,4,2,13,,,90,91,,13,,5,,,,,,,,,,,,,,,,,,,,5,,,,2400.97959967667,2400.97959967667,5,,,4,,,,,,,,,,,,,,2,6,2,2,2,50,2,4,
10,4,2,13,,,90,91,,13,1,12,,,,,,,,,,,,,,,,,,,,,6,,,2811.06672584702,2811.06672584702,5,,,5,5,1,2,3,,,,,,,,,,8,8,3,9,1,50,2,4,1
10,4,2,13,,,90,91,,13,1,13,,,,,,,,,,,,,,,,,,,,,6,,,4000,4000,6,,,5,5,16,,,,,,,,,,,,8,10,4,9,2,50,2,4,1
10,4,2,13,,,90,91,,13,1,6,,,,,,,,,,,,,,,,,,,,5,,,,1417.2,1417.2,3,,,4,4,2,11,10,,,,,,,,,,1,9,3,1,2,20,2,4,1
10,4,2,13,2,,120,121,,13,,2,,,,,,,,,,,,,,,,,2,,,,,,,6415.7056474249,6415.7056474249,6,,,4,,,,,,,,,,,,,,2,5,2,2,1,30,2,4,
10,4,2,3,1,,330,331,,13,,4,2,,,,,,,,,,,,,,,,2,,4,,,,,3103.13949055316,3103.13949055316,6,,,5,4,1,3,,,,,,,,,,,2,12,4,2,1,50,2,4,
10,4,2,3,1,,364,365,,13,,17,7,1,,,,,,,,,,,,,,1,,,,5,,,8,4329.52912041286,4329.52912041286,6,,,5,5,1,3,2,,,,,,,,,,2,11,4,2,2,60,2,4,
10,4,2,3,9,13,330,331,,13,,9,,,,,,,,,,,,,,,,,,,,,6,,,8951.87,8951.87,6,,,4,4,3,5,12,,,,,,,,,,10,12,4,11,1,30,2,4,
10,4,2,8,,,60,61,,12,,1,,,,,,,,,,,,,,,,1,,,,,,,,16332.3969425753,,98,,,5,,,,,,,,,,,,,,8,7,3,9,2,50,2,4,
10,4,3,,,,10,11,11,11,2,12,,,,,,,,,,,,,,,,,,,,,6,,,2850,2850,5,259.090909090909,3,3,3,13,,,,,,,,,,,,51,8,3,15,1,40,3,4,2
10,4,3,,,,120,121,,13,1,1,,,,,,,,,,,,,,,,1,,,,,,,,5081.30081300813,5081.30081300813,6,,,4,4,13,,,,,,,,,,,,63,10,4,97,1,50,3,4,1
10,4,3,,,,120,121,,13,1,13,10,,,,,,,,,,,,,,,,,,,,6,,,4849.07261486241,4849.07261486241,6,,,5,4,1,2,3,13,,,,,,,,,2,11,4,2,1,40,3,4,1
10,4,3,,,,120,121,,13,1,3,1,,,,,,,,,,,,,,,1,,3,,,,,,8162,8162,6,,,5,4,2,3,11,12,13,,,,,,,,2,10,4,2,1,30,3,4,1
10,4,3,,,,120,121,,13,1,7,,,,,,,,,,,,,,,,,,,,5,,,,9717.5,9717.5,6,,,3,3,13,2,,,,,,,,,,,2,11,4,2,1,40,3,4,1
10,4,3,,,,14,15,15,11,2,1,7,,,,,,,,,,,,,,,1,,,,5,,,,3463.62329633029,3463.62329633029,6,230.908219755353,3,5,5,13,,,,,,,,,,,,62,11,4,15,1,50,3,4,2
10,4,3,,,,14,15,15,11,2,10,,,,,,,,,,,,,,,,,,,,,6,,,1916.4,1916.4,4,127.76,2,4,4,13,,,,,,,,,,,,1,12,4,1,1,50,3,4,2
10,4,3,,,,14,15,15,11,2,13,,,,,,,,,,,,,,,,,,,,,6,,,2544.21,2544.21,5,169.614,2,4,4,13,,,,,,,,,,,,1,8,3,1,1,50,3,4,2
10,4,3,,,,14,15,15,11,2,15,,,,,,,,,,,,,,,,,,,,,,7,,2078.56,2078.56,5,138.570666666667,2,3,2,13,,,,,,,,,,,,1,9,3,1,1,40,3,4,2
10,4,3,,,,14,15,15,11,2,4,,,,,,,,,,,,,,,,,,,4,,,,,3832.8,3832.8,6,255.52,3,3,3,13,,,,,,,,,,,,1,12,4,1,1,40,3,4,2
10,4,3,,,,18,19,19,11,,1,,,,,,,,,,,,,,,,1,,,,,,,,816.619847128765,816.619847128765,2,42.9799919541455,1,4,,,,,,,,,,,,,,1,7,3,1,1,60,3,4,
10,4,3,,,,180,181,,13,,1,13,,,,,,,,,,,,,,,1,,,,,6,,,5013.36,5013.36,6,,,5,,,,,,,,,,,,,,1,6,2,1,2,30,3,4,
10,4,3,,,,180,181,,13,,1,3,5,11,12,13,,,,,,,,,,,1,,3,,5,6,,,7200,7200,6,,,4,,,,,,,,,,,,,,254,7,3,97,1,40,3,4,
10,4,3,,,,180,181,,13,,5,1,,,,,,,,,,,,,,,1,,,,5,,,,4523.04,4523.04,6,,,4,3,13,2,,,,,,,,,,,1,8,3,1,2,30,3,4,
10,4,3,,,,180,181,,13,1,1,,,,,,,,,,,,,,,,1,,,,,,,,5195.43494449544,5195.43494449544,6,,,5,5,1,2,,,,,,,,,,,2,11,4,2,1,40,3,4,1
10,4,3,,,,180,181,,13,1,2,1,,,,,,,,,,,,,,,1,2,,,,,,,11256.7757130734,,98,,,4,4,11,1,2,,,,,,,,,,2,11,4,2,1,30,3,4,1
10,4,3,,,,180,181,,13,1,2,1,,,,,,,,,,,,,,,1,2,,,,,,,5500,5500,6,,,4,3,13,,,,,,,,,,,,65,10,4,16,1,40,3,4,1
10,4,3,,,,180,181,,13,2,7,,,,,,,,,,,,,,,,,,,,5,,,,4610.37867167898,4610.37867167898,6,,,4,4,13,,,,,,,,,,,,1,12,4,1,1,50,3,4,2
10,4,3,,,,19,20,20,11,2,3,2,1,,,,,,,,,,,,,,1,2,3,,,,,,16591.5897231693,,98,,,5,4,13,2,1,,,,,,,,,,2,9,3,2,1,50,3,4,2
10,4,3,,,,2,3,3,3,,1,3,,,,,,,,,,,,,,,1,,3,,,,,,1110.6,1110.6,3,370.2,4,4,,,,,,,,,,,,,,16,6,2,97,1,40,3,4,
10,4,3,,,,20,21,21,11,1,13,,,,,,,,,,,,,,,,,,,,,6,,,1884.6,1884.6,4,89.7428571428571,1,4,5,13,,,,,,,,,,,,1,8,3,1,1,60,3,4,1
10,4,3,,,,21,22,22,11,2,10,1,,,,,,,,,,,,,,,1,,,,,6,,,2216.52820753797,2216.52820753797,5,100.751282160817,2,5,5,4,3,13,,,,,,,,,,68,12,4,97,1,40,3,4,2
10,4,3,,,,213,214,,13,,1,17,,,,,,,,,,,,,,,1,,,,,,,8,15000,,98,,,5,5,1,2,3,4,10,13,,,,,,,10,9,3,11,1,30,3,4,
10,4,3,,,,240,241,,13,,1,,,,,,,,,,,,,,,,1,,,,,,,,6775.06775067751,6775.06775067751,6,,,5,4,13,,,,,,,,,,,,2,10,4,2,1,50,3,4,
10,4,3,,,,240,241,,13,,17,,,,,,,,,,,,,,,,,,,,,,,8,7793.15241674316,7793.15241674316,6,,,5,4,3,1,2,,,,,,,,,,2,11,4,2,1,40,3,4,
10,4,3,,,,27,28,28,11,2,2,,,,,,,,,,,,,,,,,2,,,,,,,1418.5780528243,1418.5780528243,3,50.6635018865821,1,4,4,2,1,13,,,,,,,,,,2,12,4,2,1,40,3,4,2
10,4,3,,,,270,271,,13,,2,1,,,,,,,,,,,,,,,1,2,,,,,,,12703.2520325203,,98,,,4,4,1,2,13,,,,,,,,,,2,10,4,2,1,50,3,4,
10,4,3,,,,270,271,,13,,6,,,,,,,,,,,,,,,,,,,,5,,,,3218.15718157182,3218.15718157182,6,,,4,5,13,1,,,,,,,,,,,78,10,4,15,1,40,3,4,
10,4,3,,,,299,300,,13,,8,5,,,,,,,,,,,,,,,,,,,5,,,,6000,6000,6,,,5,5,2,13,,,,,,,,,,,58,12,4,15,1,40,3,4,
10,4,3,,,,3,4,4,4,,7,,,,,,,,,,,,,,,,,,,,5,,,,465.05,465.05,1,116.2625,2,5,,,,,,,,,,,,,,1,7,3,1,1,50,3,4,
10,4,3,,,,30,31,31,11,,1,,,,,,,,,,,,,,,,1,,,,,,,,1246.2,1246.2,3,40.2,1,5,,,,,,,,,,,,,,86,7,3,17,1,40,3,4,
10,4,3,,,,30,31,31,11,,1,,,,,,,,,,,,,,,,1,,,,,,,,16039.2641185622,,98,,,3,,,,,,,,,,,,,,10,5,2,11,1,20,3,4,
10,4,3,,,,30,31,31,11,,13,1,,,,,,,,,,,,,,,1,,,,,6,,,1764.31905304185,1764.31905304185,4,56.9135178400596,1,4,,,,,,,,,,,,,,1,5,2,1,1,60,3,4,
10,4,3,,,,30,31,31,11,,2,,,,,,,,,,,,,,,,,2,,,,,,,2433.6,2433.6,5,78.5032258064516,1,4,,,,,,,,,,,,,,1,5,2,1,1,30,3,4,
10,4,3,,,,30,31,31,11,1,1,,,,,,,,,,,,,,,,1,,,,,,,,1439.70189701897,1439.70189701897,3,46.4419966780313,1,5,5,13,,,,,,,,,,,,2,10,4,2,2,20,3,4,1
10,4,3,,,,30,31,31,11,1,1,,,,,,,,,,,,,,,,1,,,,,,,,2712.43280564186,2712.43280564186,5,87.49783244006,1,5,4,14,,,,,,,,,,,,58,8,3,15,1,30,3,4,1
10,4,3,,,,30,31,31,11,1,1,,,,,,,,,,,,,,,,1,,,,,,,,2800,2800,5,90.3225806451613,1,3,3,13,,,,,,,,,,,,65,10,4,16,1,40,3,4,1
10,4,3,,,,30,31,31,11,1,2,,,,,,,,,,,,,,,,,2,,,,,,,4733,4733,6,152.677419354839,2,4,3,13,2,,,,,,,,,,,1,10,4,1,1,50,3,4,1
10,4,3,,,,30,31,31,11,1,5,,,,,,,,,,,,,,,,,,,,5,,,,3779.2,3779.2,6,121.909677419355,2,3,3,2,13,,,,,,,,,,,1,9,3,1,1,40,3,4,1
10,4,3,,,,30,31,31,11,1,8,,,,,,,,,,,,,,,,,,,,5,,,,1978.83,1978.83,4,63.8332258064516,1,3,3,13,,,,,,,,,,,,1,8,3,1,1,40,3,4,1
10,4,3,,,,30,31,31,11,1,8,,,,,,,,,,,,,,,,,,,,5,,,,6100,6100,6,196.774193548387,2,5,4,2,13,10,,,,,,,,,,8,9,3,9,1,50,3,4,1
10,4,3,,,,30,31,31,11,2,1,,,,,,,,,,,,,,,,1,,,,,,,,3820,3820,6,123.225806451613,2,4,3,13,,,,,,,,,,,,1,11,4,1,1,40,3,4,2
10,4,3,,,,30,31,31,11,2,1,,,,,,,,,,,,,,,,1,,,,,,,,3901.08964526683,3901.08964526683,6,125.84160146022,2,3,3,13,,,,,,,,,,,,1,12,4,1,1,40,3,4,2
10,4,3,,,,30,31,31,11,2,1,,,,,,,,,,,,,,,,1,,,,,,,,4297.5,4297.5,6,138.629032258065,2,3,3,13,,,,,,,,,,,,1,11,4,1,1,40,3,4,2
10,4,3,,,,30,31,31,11,2,1,,,,,,,,,,,,,,,,1,,,,,,,,4297.5,4297.5,6,138.629032258065,2,4,2,13,,,,,,,,,,,,1,11,4,1,1,40,3,4,2
10,4,3,,,,300,301,,13,,1,,,,,,,,,,,,,,,,1,,,,,,,,7979.50154713669,7979.50154713669,6,,,4,4,13,1,,,,,,,,,,,2,12,4,2,1,40,3,4,
10,4,3,,,,300,301,,13,,1,,,,,,,,,,,,,,,,1,,,,,,,,9524.9640649083,9524.9640649083,6,,,4,4,1,13,,,,,,,,,,,2,11,4,2,1,50,3,4,
10,4,3,,,,300,301,,13,,1,2,3,4,6,13,17,,,,,,,,,,1,2,3,4,5,6,,8,9041.44268547287,9041.44268547287,6,,,5,1,2,3,4,13,5,6,8,9,10,11,12,,8,8,3,9,1,30,3,4,
10,4,3,,,,300,301,,13,,2,,,,,,,,,,,,,,,,,2,,,,,,,17732.2256603038,,98,,,5,5,13,1,2,,,,,,,,,,2,12,4,2,1,40,3,4,
10,4,3,,,,300,301,,13,,2,3,1,,,,,,,,,,,,,,1,2,3,,,,,,8866.11283015188,8866.11283015188,6,,,5,4,13,1,2,14,,,,,,,,,2,12,4,2,2,20,3,4,
10,4,3,,,,309,310,,13,,2,1,5,,,,,,,,,,,,,,1,2,,,5,,,,17808,,98,,,4,2,13,,,,,,,,,,,,2,10,4,2,1,30,3,4,
10,4,3,,,,330,331,,13,,1,,,,,,,,,,,,,,,,1,,,,,,,,9524.9640649083,9524.9640649083,6,,,4,4,13,1,2,,,,,,,,,,2,11,4,2,1,40,3,4,
10,4,3,,,,330,331,,13,,1,4,,,,,,,,,,,,,,,1,,,4,,,,,30000,,98,,,5,5,3,12,13,,,,,,,,,,6,12,4,8,1,40,3,4,
10,4,3,,,,330,331,,13,,1,4,,,,,,,,,,,,,,,1,,,4,,,,,9957.91697694959,9957.91697694959,6,,,5,5,1,2,3,6,10,12,13,,,,,,2,11,4,2,2,20,3,4,
10,4,3,,,,330,331,,13,,2,,,,,,,,,,,,,,,,,2,,,,,,,8659.05824082573,8659.05824082573,6,,,5,5,1,13,11,,,,,,,,,,2,11,4,2,1,40,3,4,
10,4,3,,,,340,341,,13,,1,2,3,,,,,,,,,,,,,,1,2,3,,,,,,7000,7000,6,,,5,5,2,3,,,,,,,,,,,14,10,4,97,1,30,3,4,
10,4,3,,,,360,361,,13,,10,,,,,,,,,,,,,,,,,,,,,6,,,24000,,98,,,4,,,,,,,,,,,,,,12,6,2,13,1,40,3,4,
10,4,3,,,,360,361,,13,,11,,,,,,,,,,,,,,,,,,,,,6,,,13356,,98,,,5,5,13,2,,,,,,,,,,,2,10,4,2,1,50,3,4,
10,4,3,,,,364,365,,13,,1,,,,,,,,,,,,,,,,1,,,,,,,,31172.6096669726,,98,,,5,5,1,3,2,13,,,,,,,,,2,11,4,2,1,40,3,4,
10,4,3,,,,364,365,,13,,1,,,,,,,,,,,,,,,,1,,,,,,,,6532.95877703012,6532.95877703012,6,,,4,,,,,,,,,,,,,,2,7,3,2,1,30,3,4,
