F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63
1,1,2,13,,,180,181,,13,,3,,,,,,,,,,,,,,,,,,3,,,,,,3201.30613290222,3201.30613290222,6,,,5,,,,,,,,,,,,,,7,6,2,6,2,40,2,1,
1,1,2,13,,,21,22,22,11,1,13,,,,,,,,,,,,,,,,,,,,,6,,,1538.6,1538.6,4,69.9363636363636,1,3,4,16,,,,,,,,,,,,9,9,3,10,2,20,2,1,1
1,1,2,13,,,210,211,,13,,1,,,,,,,,,,,,,,,,1,,,,,,,,7190.4,7190.4,6,,,5,5,2,3,10,,,,,,,,,,232,9,3,97,2,20,2,1,
1,1,2,13,,,210,211,,13,,4,,,,,,,,,,,,,,,,,,,4,,,,,2876.82267265046,2876.82267265046,5,,,5,5,2,3,,,,,,,,,,,7,8,3,6,2,20,2,1,
1,1,2,13,,,240,241,,13,,1,2,,,,,,,,,,,,,,,1,2,,,,,,,1244.3692292377,1244.3692292377,3,,,4,4,1,2,3,,,,,,,,,,21,9,3,97,2,30,2,1,
1,1,2,13,,,270,271,,13,,10,,,,,,,,,,,,,,,,,,,,,6,,,2597.71747224772,2597.71747224772,5,,,5,5,1,3,,,,,,,,,,,2,11,4,2,1,50,2,1,
1,1,2,13,,,28,29,29,11,1,1,13,,,,,,,,,,,,,,,1,,,,,6,,,4037.1,4037.1,6,139.210344827586,2,5,5,2,16,,,,,,,,,,,10,9,3,11,2,60,2,1,1
1,1,2,13,,,29,30,30,11,,6,,,,,,,,,,,,,,,,,,,,5,,,,1500,1500,3,50,1,5,,,,,,,,,,,,,,13,7,3,14,1,20,2,1,
1,1,2,13,,,30,31,31,11,1,11,,,,,,,,,,,,,,,,,,,,,6,,,1500,1500,3,48.3870967741936,1,5,5,2,3,,,,,,,,,,,8,9,3,9,1,20,2,1,1
1,1,2,13,,,300,301,,13,,1,15,10,9,13,,,,,,,,,,,,1,,,,,6,7,,700,700,2,,,5,,,,,,,,,,,,,,13,7,3,14,2,20,2,1,
1,1,2,13,,,300,301,,13,,1,2,3,4,,,,,,,,,,,,,1,2,3,4,,,,,1731.81164816515,1731.81164816515,4,,,5,5,1,2,3,4,6,10,12,,,,,,2,11,4,2,2,20,2,1,
1,1,2,13,,,330,331,,13,,2,1,,,,,,,,,,,,,,,1,2,,,,,,,4000,4000,6,,,5,5,2,3,13,,,,,,,,,,58,10,4,15,2,40,2,1,
1,1,2,13,,,330,331,,13,,2,1,,,,,,,,,,,,,,,1,2,,,,,,,4329.52912041286,4329.52912041286,6,,,5,5,1,2,3,,,,,,,,,,2,11,4,2,2,60,2,1,
1,1,2,13,,,360,361,,13,,1,4,13,,,,,,,,,,,,,,1,,,4,,6,,,8000,8000,6,,,5,,,,,,,,,,,,,,8,6,2,9,2,40,2,1,
1,1,2,13,,,360,361,,13,1,2,,,,,,,,,,,,,,,,,2,,,,,,,3000,3000,5,,,4,5,4,,,,,,,,,,,,8,10,4,9,2,20,2,1,1
1,1,2,13,,,364,365,,13,,2,,,,,,,,,,,,,,,,,2,,,,,,,11525.9466791974,,98,,,4,5,1,2,,,,,,,,,,,2,12,4,2,1,30,2,1,
1,1,2,13,,,41,42,42,11,1,1,2,,,,,,,,,,,,,,,1,2,,,,,,,3534.38214068485,3534.38214068485,6,84.1519557305916,1,4,4,3,,,,,,,,,,,,8,8,3,9,1,30,2,1,1
1,1,2,13,,,45,46,46,11,1,2,,,,,,,,,,,,,,,,,2,,,,,,,5000,5000,6,108.695652173913,2,4,4,1,10,,,,,,,,,,,8,12,4,9,2,20,2,1,1
1,1,2,13,,,50,51,51,11,1,2,1,,,,,,,,,,,,,,,1,2,,,,,,,1950.54482263341,1950.54482263341,4,38.2459769143806,1,5,5,2,1,,,,,,,,,,,80,12,4,97,2,50,2,1,1
1,1,2,13,,,50,51,51,11,1,2,1,,,,,,,,,,,,,,,1,2,,,,,,,4000,4000,6,78.4313725490196,1,4,3,1,2,3,4,10,,,,,,,,8,12,4,9,1,20,2,1,1
1,1,2,13,,,60,61,,12,,1,2,,,,,,,,,,,,,,,1,2,,,,,,,7000,7000,6,,,5,,,,,,,,,,,,,,8,7,3,9,2,20,2,1,
