기준년월,행정동명,방문자 구분,방문자 수,시설이름,시도,시군,지정년도
202410,효령면,외지인방문자(b),110968,사유원,대구광역시,군위군,2024
202410,효령면,전체방문자(a+b),170496,사유원,대구광역시,군위군,2024
202410,효령면,현지인방문자(a),59528,사유원,대구광역시,군위군,2024
202411,효령면,외지인방문자(b),103246,사유원,대구광역시,군위군,2024
202411,효령면,전체방문자(a+b),157584,사유원,대구광역시,군위군,2024
202411,효령면,현지인방문자(a),54338,사유원,대구광역시,군위군,2024
202412,효령면,외지인방문자(b),91024,사유원,대구광역시,군위군,2024
202412,효령면,전체방문자(a+b),146212,사유원,대구광역시,군위군,2024
202412,효령면,현지인방문자(a),55188,사유원,대구광역시,군위군,2024
202501,효령면,외지인방문자(b),106306,사유원,대구광역시,군위군,2024
202501,효령면,전체방문자(a+b),158599,사유원,대구광역시,군위군,2024
202501,효령면,현지인방문자(a),52294,사유원,대구광역시,군위군,2024
202502,효령면,외지인방문자(b),75432,사유원,대구광역시,군위군,2024
202502,효령면,전체방문자(a+b),125010,사유원,대구광역시,군위군,2024
202502,효령면,현지인방문자(a),49578,사유원,대구광역시,군위군,2024
202503,효령면,외지인방문자(b),106880,사유원,대구광역시,군위군,2024
202503,효령면,전체방문자(a+b),162050,사유원,대구광역시,군위군,2024
202503,효령면,현지인방문자(a),55170,사유원,대구광역시,군위군,2024
202404,만촌3동,외지인방문자(b),136689,한국전통문화체험관,대구광역시,수성구,2024
202404,만촌3동,전체방문자(a+b),498316,한국전통문화체험관,대구광역시,수성구,2024
202404,만촌3동,현지인방문자(a),361627,한국전통문화체험관,대구광역시,수성구,2024
202405,만촌3동,외지인방문자(b),148365,한국전통문화체험관,대구광역시,수성구,2024
202405,만촌3동,전체방문자(a+b),516838,한국전통문화체험관,대구광역시,수성구,2024
202405,만촌3동,현지인방문자(a),368473,한국전통문화체험관,대구광역시,수성구,2024
202406,만촌3동,외지인방문자(b),153752,한국전통문화체험관,대구광역시,수성구,2024
202406,만촌3동,전체방문자(a+b),538276,한국전통문화체험관,대구광역시,수성구,2024
202406,만촌3동,현지인방문자(a),384524,한국전통문화체험관,대구광역시,수성구,2024
202407,만촌3동,외지인방문자(b),149166,한국전통문화체험관,대구광역시,수성구,2024
202407,만촌3동,전체방문자(a+b),509936,한국전통문화체험관,대구광역시,수성구,2024
202407,만촌3동,현지인방문자(a),360770,한국전통문화체험관,대구광역시,수성구,2024
202408,만촌3동,외지인방문자(b),157300,한국전통문화체험관,대구광역시,수성구,2024
202408,만촌3동,전체방문자(a+b),513622,한국전통문화체험관,대구광역시,수성구,2024
202408,만촌3동,현지인방문자(a),356321,한국전통문화체험관,대구광역시,수성구,2024
202409,만촌3동,외지인방문자(b),181006,한국전통문화체험관,대구광역시,수성구,2024
202409,만촌3동,전체방문자(a+b),561498,한국전통문화체험관,대구광역시,수성구,2024
202409,만촌3동,현지인방문자(a),380492,한국전통문화체험관,대구광역시,수성구,2024
202410,만촌3동,외지인방문자(b),163716,한국전통문화체험관,대구광역시,수성구,2024
202410,만촌3동,전체방문자(a+b),596890,한국전통문화체험관,대구광역시,수성구,2024
202410,만촌3동,현지인방문자(a),433174,한국전통문화체험관,대구광역시,수성구,2024
202411,만촌3동,외지인방문자(b),161318,한국전통문화체험관,대구광역시,수성구,2024
202411,만촌3동,전체방문자(a+b),609735,한국전통문화체험관,대구광역시,수성구,2024
202411,만촌3동,현지인방문자(a),448416,한국전통문화체험관,대구광역시,수성구,2024
202412,만촌3동,외지인방문자(b),169449,한국전통문화체험관,대구광역시,수성구,2024
202412,만촌3동,전체방문자(a+b),618219,한국전통문화체험관,대구광역시,수성구,2024
202412,만촌3동,현지인방문자(a),448770,한국전통문화체험관,대구광역시,수성구,2024
202501,만촌3동,외지인방문자(b),168819,한국전통문화체험관,대구광역시,수성구,2024
202501,만촌3동,전체방문자(a+b),572166,한국전통문화체험관,대구광역시,수성구,2024
202501,만촌3동,현지인방문자(a),403347,한국전통문화체험관,대구광역시,수성구,2024
202502,만촌3동,외지인방문자(b),162676,한국전통문화체험관,대구광역시,수성구,2024
202502,만촌3동,전체방문자(a+b),550928,한국전통문화체험관,대구광역시,수성구,2024
202502,만촌3동,현지인방문자(a),388252,한국전통문화체험관,대구광역시,수성구,2024
202503,만촌3동,외지인방문자(b),204617,한국전통문화체험관,대구광역시,수성구,2024
202503,만촌3동,전체방문자(a+b),663974,한국전통문화체험관,대구광역시,수성구,2024
202503,만촌3동,현지인방문자(a),459358,한국전통문화체험관,대구광역시,수성구,2024
202404,만촌3동,외국인방문객,1019,한국전통문화체험관,대구광역시,수성구,2024
202411,만촌3동,외국인방문객,1171,한국전통문화체험관,대구광역시,수성구,2024
202407,만촌3동,외국인방문객,1543,한국전통문화체험관,대구광역시,수성구,2024
202406,만촌3동,외국인방문객,1177,한국전통문화체험관,대구광역시,수성구,2024
202405,만촌3동,외국인방문객,963,한국전통문화체험관,대구광역시,수성구,2024
202408,만촌3동,외국인방문객,1255,한국전통문화체험관,대구광역시,수성구,2024
202410,만촌3동,외국인방문객,992,한국전통문화체험관,대구광역시,수성구,2024
202409,만촌3동,외국인방문객,982,한국전통문화체험관,대구광역시,수성구,2024
202412,만촌3동,외국인방문객,747,한국전통문화체험관,대구광역시,수성구,2024
202501,만촌3동,외국인방문객,588,한국전통문화체험관,대구광역시,수성구,2024
202502,만촌3동,외국인방문객,569,한국전통문화체험관,대구광역시,수성구,2024
202503,만촌3동,외국인방문객,958,한국전통문화체험관,대구광역시,수성구,2024
202304,만촌3동,외국인방문객,1014,한국전통문화체험관,대구광역시,수성구,2024
202306,만촌3동,외국인방문객,586,한국전통문화체험관,대구광역시,수성구,2024
202305,만촌3동,외국인방문객,858,한국전통문화체험관,대구광역시,수성구,2024
202307,만촌3동,외국인방문객,799,한국전통문화체험관,대구광역시,수성구,2024
202308,만촌3동,외국인방문객,947,한국전통문화체험관,대구광역시,수성구,2024
202309,만촌3동,외국인방문객,1014,한국전통문화체험관,대구광역시,수성구,2024
202310,만촌3동,외국인방문객,1062,한국전통문화체험관,대구광역시,수성구,2024
202311,만촌3동,외국인방문객,731,한국전통문화체험관,대구광역시,수성구,2024
202401,만촌3동,외국인방문객,609,한국전통문화체험관,대구광역시,수성구,2024
202402,만촌3동,외국인방문객,541,한국전통문화체험관,대구광역시,수성구,2024
202403,만촌3동,외국인방문객,911,한국전통문화체험관,대구광역시,수성구,2024
202312,만촌3동,외국인방문객,638,한국전통문화체험관,대구광역시,수성구,2024
202304,만촌3동,외지인방문자(b),132465,한국전통문화체험관,대구광역시,수성구,2024
202304,만촌3동,전체방문자(a+b),574837,한국전통문화체험관,대구광역시,수성구,2024
202304,만촌3동,현지인방문자(a),442372,한국전통문화체험관,대구광역시,수성구,2024
202305,만촌3동,외지인방문자(b),137914,한국전통문화체험관,대구광역시,수성구,2024
202305,만촌3동,전체방문자(a+b),598626,한국전통문화체험관,대구광역시,수성구,2024
202305,만촌3동,현지인방문자(a),460712,한국전통문화체험관,대구광역시,수성구,2024
202306,만촌3동,외지인방문자(b),140291,한국전통문화체험관,대구광역시,수성구,2024
202306,만촌3동,전체방문자(a+b),572849,한국전통문화체험관,대구광역시,수성구,2024
202306,만촌3동,현지인방문자(a),432558,한국전통문화체험관,대구광역시,수성구,2024
202307,만촌3동,외지인방문자(b),144617,한국전통문화체험관,대구광역시,수성구,2024
202307,만촌3동,전체방문자(a+b),555268,한국전통문화체험관,대구광역시,수성구,2024
202307,만촌3동,현지인방문자(a),410652,한국전통문화체험관,대구광역시,수성구,2024
202308,만촌3동,외지인방문자(b),146017,한국전통문화체험관,대구광역시,수성구,2024
202308,만촌3동,전체방문자(a+b),566636,한국전통문화체험관,대구광역시,수성구,2024
202308,만촌3동,현지인방문자(a),420619,한국전통문화체험관,대구광역시,수성구,2024
202309,만촌3동,외지인방문자(b),164916,한국전통문화체험관,대구광역시,수성구,2024
202309,만촌3동,전체방문자(a+b),591448,한국전통문화체험관,대구광역시,수성구,2024
202309,만촌3동,현지인방문자(a),426531,한국전통문화체험관,대구광역시,수성구,2024
202310,만촌3동,외지인방문자(b),151798,한국전통문화체험관,대구광역시,수성구,2024
202310,만촌3동,전체방문자(a+b),593600,한국전통문화체험관,대구광역시,수성구,2024
202310,만촌3동,현지인방문자(a),441802,한국전통문화체험관,대구광역시,수성구,2024
202311,만촌3동,외지인방문자(b),142362,한국전통문화체험관,대구광역시,수성구,2024
202311,만촌3동,전체방문자(a+b),578512,한국전통문화체험관,대구광역시,수성구,2024
202311,만촌3동,현지인방문자(a),436149,한국전통문화체험관,대구광역시,수성구,2024
202312,만촌3동,외지인방문자(b),159558,한국전통문화체험관,대구광역시,수성구,2024
202312,만촌3동,전체방문자(a+b),586848,한국전통문화체험관,대구광역시,수성구,2024
202312,만촌3동,현지인방문자(a),427290,한국전통문화체험관,대구광역시,수성구,2024
202401,만촌3동,외지인방문자(b),144518,한국전통문화체험관,대구광역시,수성구,2024
202401,만촌3동,전체방문자(a+b),488068,한국전통문화체험관,대구광역시,수성구,2024
202401,만촌3동,현지인방문자(a),343550,한국전통문화체험관,대구광역시,수성구,2024
202402,만촌3동,외지인방문자(b),161924,한국전통문화체험관,대구광역시,수성구,2024
