D_NAT,M일HAP,Q7A,Q7a_dk,Q7a2,Q7a3,Q7a4,Q7a5,Q7a6,Q7a7,Q7a8,D_GUB,D_MOK,총액1인TOT항공제외2,Q8a03,Q8a12,Q8_1a1,Q8_1a2,Q8_1a3,동행자유형,국가명,웰니스참여,웰니스만족,log_총액,year
18,5,2,,,,,,6.0,,,1,2,1020.37,,,5,,,친구,독일,0,0,6.927920585600259,2023
1,6,2,,,,,,6.0,,,1,1,785.46,3.0,,7,,,친구,중국,1,0,6.666269533420063,2023
1,7,2,,,,4.0,,,,,1,1,1770.73,,,11,1.0,2.0,가족,중국,0,0,7.479147169920787,2023
1,7,2,,,,4.0,,,,,1,1,1061.06,3.0,,11,3.0,2.0,가족,중국,1,1,6.967023687439196,2023
16,6,1,1.0,,,,,,,,1,1,2322.45,3.0,,3,2.0,5.0,혼자,영국,1,1,7.750377941930956,2023
16,29,2,,,,,,6.0,,,1,1,1478.5,,,18,10.0,11.0,친구,영국,0,0,7.298783339292532,2023
1,5,2,,,,,,6.0,,,1,1,1171.3,3.0,,7,1.0,2.0,친구,중국,1,0,7.065869522075829,2023
3,5,2,,,,,,6.0,,,1,1,824.32,,,8,2.0,1.0,친구,대만,0,0,6.71455880403588,2023
1,6,2,,,,,,6.0,,,1,1,1378.0,3.0,,7,3.0,11.0,친구,중국,1,1,7.228388451573604,2023
1,5,2,,,,4.0,,,,,1,2,496.08,3.0,,1,3.0,5.0,가족,중국,1,1,6.206737204041622,2023
1,6,2,,,,4.0,,6.0,,,1,1,968.05,,,2,7.0,1.0,가족,중국,0,0,6.875283738835174,2023
1,71,1,1.0,,,,,,,,1,2,2135.9,3.0,,19,3.0,1.0,혼자,중국,1,1,7.666643382504759,2023
2,4,2,,,3.0,,,,,,2,1,500.25,,,2,1.0,,가족,일본,0,0,6.215107973463843,2023
2,5,2,,,,4.0,,,,,1,1,596.85,,,7,2.0,1.0,가족,일본,0,0,6.391665825541048,2023
16,7,1,1.0,,,,,,,,1,1,1116.81,3.0,,4,3.0,5.0,혼자,영국,1,1,7.018231686122747,2023
1,16,1,1.0,,,,,,,,1,2,399.62,,,19,1.0,,혼자,중국,0,0,5.990514095571987,2023
2,7,1,1.0,,,,,,,,1,2,393.3,3.0,,19,3.0,1.0,혼자,일본,1,1,5.974572679437764,2023
1,5,1,1.0,,,,,,,,1,1,4616.3,,,19,1.0,,혼자,중국,0,0,8.437348797410579,2023
2,3,2,,,,,,6.0,,,2,2,841.8,,12.0,12,7.0,1.0,친구,일본,1,1,6.7355424563364705,2023
2,3,2,,,,,,6.0,,,1,1,555.45,,,11,4.0,5.0,친구,일본,0,0,6.3197785960277315,2023
2,5,2,,,,,,6.0,,,1,1,765.9,3.0,,2,1.0,3.0,친구,일본,1,1,6.641051612915548,2023
2,4,2,,2.0,,4.0,,,,,2,1,607.2,,,1,2.0,,가족,일본,0,0,6.408858226081421,2023
2,3,2,,,,4.0,,,,,2,1,520.95,3.0,,3,1.0,,가족,일본,1,1,6.255654067858193,2023
2,5,1,1.0,,,,,,,,1,2,348.45,,12.0,19,1.0,12.0,혼자,일본,1,1,5.853494747884528,2023
2,6,2,,,3.0,4.0,,,,,1,1,409.4,3.0,,4,1.0,3.0,가족,일본,1,1,6.014692673227189,2023
16,9,2,,,3.0,,5.0,,,,1,1,1535.61,3.0,,6,4.0,5.0,가족,영국,1,0,7.336682975217968,2023
1,14,1,1.0,,,,,,,,1,2,771.68,3.0,,2,11.0,1.0,혼자,중국,1,0,6.648569956320662,2023
1,4,2,,2.0,,,,,,,1,2,895.7,3.0,,3,4.0,1.0,가족,중국,1,1,6.79760553548115,2023
1,5,2,,,,4.0,,,,,1,1,1212.64,,,2,1.0,,가족,중국,0,0,7.100555080063719,2023
2,2,1,1.0,,,,,,,,1,2,441.6,,,1,2.0,,혼자,일본,0,0,6.090404494962885,2023
1,5,1,1.0,,,,,,,,1,1,828.87,3.0,,1,3.0,11.0,혼자,중국,1,1,6.7200633273981785,2023
5,5,2,,,3.0,,5.0,,,,1,1,2522.23,,,4,2.0,11.0,가족,홍콩,0,0,7.83289870982896,2023
16,8,2,,,,,,6.0,,,1,1,527.95,3.0,,1,4.0,3.0,친구,영국,1,1,6.269001582252524,2023
5,4,2,,,,4.0,,,,,1,1,1412.11,3.0,12.0,6,1.0,2.0,가족,홍콩,1,0,7.252840318701573,2023
1,6,2,,,,,,6.0,,,1,1,1812.07,,,1,2.0,,친구,중국,0,0,7.502225117203332,2023
5,6,2,,2.0,,,,,,,3,1,1020.8,3.0,,1,4.0,3.0,가족,홍콩,1,1,6.9283419125905255,2023
3,7,2,,,,4.0,,,,,1,2,652.05,,,1,2.0,,가족,대만,0,0,6.480121246102911,2023
1,51,1,1.0,,,,,,,,1,2,144.4,,,19,,,혼자,중국,0,0,4.972587226458726,2023
3,7,2,,,,,,6.0,,,1,1,1143.1,,,4,10.0,9.0,친구,대만,0,0,7.041499149031733,2023
1,5,1,1.0,,,,,,,,1,2,744.12,,,19,,,혼자,중국,0,0,6.612202312149787,2023
4,24,1,1.0,,,,,,,,1,1,1990.0,,,10,11.0,9.0,혼자,미국,0,0,7.595889917718538,2023
10,7,2,,,3.0,,,,,,3,1,2348.65,3.0,,3,4.0,1.0,가족,싱가포르,1,1,7.761595973983087,2023
10,30,1,1.0,,,,,,,,1,1,1608.45,,,2,4.0,5.0,혼자,싱가포르,0,0,7.3830262613342645,2023
2,4,2,,,,,,6.0,,,1,1,865.26,3.0,,1,10.0,2.0,친구,일본,1,0,6.763030039802034,2023
3,5,2,,2.0,,4.0,,,,,1,1,925.75,3.0,,1,2.0,11.0,가족,대만,1,0,6.830604219793722,2023
4,5,2,,,3.0,,5.0,,,,1,1,1450.0,,12.0,13,1.0,12.0,가족,미국,1,1,7.27931883541462,2023
10,6,2,,2.0,,,,6.0,,,1,1,558.85,,,1,11.0,2.0,가족,싱가포르,0,0,6.32588110083162,2023
3,6,2,,,,,,6.0,,,1,1,991.76,3.0,,2,7.0,1.0,친구,대만,1,0,6.899481142529892,2023
3,7,2,,,,,5.0,,,,1,1,945.07,,,2,1.0,7.0,가족,대만,0,0,6.851258998824468,2023
2,3,2,,,,,,6.0,,,1,1,486.45,,,1,2.0,,친구,일본,0,0,6.187134121421437,2023
2,4,2,,,,4.0,,,,,1,2,485.07,,,4,6.0,,가족,일본,0,0,6.184293210419833,2023
4,14,2,,,,,,6.0,,,1,2,362.5,3.0,12.0,10,2.0,3.0,친구,미국,1,1,5.893024474294729,2023
4,7,2,,2.0,,4.0,,6.0,,,1,1,950.0,3.0,,1,4.0,2.0,가족,미국,1,0,6.856461984594587,2023
3,5,1,1.0,,,,,,,,1,1,1426.46,,,7,1.0,2.0,혼자,대만,0,0,7.262951129601452,2023
10,7,2,,,3.0,,,,,,1,1,4128.1,3.0,,4,3.0,2.0,가족,싱가포르,1,1,8.325572531674185,2023
10,6,2,,2.0,,4.0,,,,,1,1,954.86,,12.0,2,12.0,8.0,가족,싱가포르,1,1,6.861564732875721,2023
4,8,2,,,,,,6.0,,,1,1,602.5,3.0,,3,,,친구,미국,1,1,6.40108766536481,2023
3,5,2,,,,4.0,5.0,,,,1,1,1183.35,,,1,2.0,7.0,가족,대만,0,0,7.076104678209208,2023
3,5,2,,,,,5.0,,,,3,1,1458.66,3.0,12.0,1,2.0,5.0,가족,대만,1,0,7.285273485039351,2023
10,6,2,,,,,,6.0,,,1,1,2701.73,3.0,,4,3.0,2.0,친구,싱가포르,1,1,7.901647587546456,2023
3,5,2,,,3.0,,,,,,3,1,1328.25,3.0,,3,2.0,4.0,가족,대만,1,1,7.191617565331053,2023
16,15,2,,,,,,6.0,,,1,1,1396.01,3.0,,4,3.0,5.0,친구,영국,1,1,7.241373446620443,2023
1,7,1,1.0,,,,,,,,1,1,730.34,,,7,2.0,8.0,혼자,중국,0,0,6.593510179137635,2023
1,5,1,1.0,,,,,,,,1,1,1033.5,,,7,,,혼자,중국,0,0,6.940706379121823,2023
4,8,2,,,,,5.0,,,,1,2,816.67,,,11,1.0,15.0,가족,미국,0,0,6.705235096494986,2023
1,5,1,1.0,,,,,,,,1,1,1605.37,3.0,,7,3.0,5.0,혼자,중국,1,1,7.381109538591268,2023
