D_NAT,M일HAP,Q7A,Q7a_dk,Q7a2,Q7a3,Q7a4,Q7a5,Q7a6,Q7a7,Q7a8,D_GUB,D_MOK,총액1인TOT항공제외2,Q8a03,Q8a12,Q8_1a1,Q8_1a2,Q8_1a3,동행자유형,국가명,웰니스참여,웰니스만족,log_총액,year
3,27,1,1.0,,,,,,,,1,1,1093.21,,,8,1.0,2.0,혼자,대만,0,0,6.996873601469082,2023
1,7,1,1.0,,,,,,,,1,2,1621.28,3.0,,11,2.0,3.0,혼자,중국,1,1,7.390971239700008,2023
1,71,1,1.0,,,,,,,,1,2,1646.16,,,2,4.0,1.0,혼자,중국,0,0,7.406200581859176,2023
5,5,2,,,,,,6.0,,,1,1,1140.09,,,5,1.0,11.0,친구,홍콩,0,0,7.038862485640783,2023
3,8,2,,,,,,6.0,,,1,1,1336.6,3.0,,2,3.0,1.0,친구,대만,1,1,7.19788435507697,2023
4,7,1,1.0,,,,,,,,1,1,1430.0,,,7,4.0,,혼자,미국,0,0,7.265429723253953,2023
3,6,2,,,,4.0,,,,,1,1,1401.8,,,2,1.0,,가족,대만,0,0,7.245512404066225,2023
5,6,2,,,,,,6.0,,,1,1,1790.84,3.0,,3,2.0,15.0,친구,홍콩,1,1,7.49044006250333,2023
3,6,2,,2.0,,,,,,,1,1,805.22,3.0,,3,1.0,2.0,가족,대만,1,1,6.691115532006593,2023
3,5,2,,,,,,6.0,,,3,1,1352.9,3.0,,3,1.0,8.0,친구,대만,1,1,7.210005715609315,2023
1,7,2,,2.0,,,,,,,1,2,1480.1,,,2,1.0,6.0,가족,중국,0,0,7.299864932043143,2023
5,7,2,,2.0,,4.0,,,,,1,2,1537.2,,,2,1.0,14.0,가족,홍콩,0,0,7.337717858690689,2023
3,5,2,,,,4.0,,,,,3,1,1630.0,3.0,,8,11.0,3.0,가족,대만,1,1,7.396335293800808,2023
16,7,1,1.0,,,,,,,,1,2,2145.26,3.0,,1,2.0,3.0,혼자,영국,1,1,7.671016036137734,2023
7,3,1,1.0,,,,,,,,1,1,733.44,3.0,,4,2.0,3.0,혼자,베트남,1,1,6.597745794646266,2023
1,11,1,1.0,,,,,,,,1,2,1173.5,,,2,,,혼자,중국,0,0,7.067746015291078,2023
2,4,2,,,,,,6.0,,,1,1,319.2,,,11,,,친구,일본,0,0,5.765817865575654,2023
10,4,1,1.0,,,,,,,,1,1,144.4,,,15,8.0,1.0,혼자,싱가포르,0,0,4.972587226458726,2023
6,4,2,,,,,,,7.0,,1,1,5632.58,,,2,4.0,1.0,직장동료,태국,0,0,8.636322875490043,2023
10,10,2,,2.0,,4.0,,,,,1,1,4222.23,,12.0,1,12.0,2.0,가족,싱가포르,1,1,8.348118703475869,2023
4,10,2,,,3.0,,,,,,1,1,910.0,3.0,,9,1.0,4.0,가족,미국,1,0,6.813444599510896,2023
2,4,1,1.0,,,,,,,,1,1,638.4,,,1,2.0,,혼자,일본,0,0,6.458965046135599,2023
1,8,2,,,3.0,,,,,,1,2,1111.88,3.0,,1,2.0,3.0,가족,중국,1,1,7.0138075553183645,2023
5,7,2,,2.0,,4.0,,,,,2,1,1477.42,3.0,,6,3.0,2.0,가족,홍콩,1,1,7.298052602298258,2023
10,7,2,,2.0,3.0,4.0,5.0,,,,1,1,1095.3,,,2,11.0,6.0,가족,싱가포르,0,0,6.998783577329701,2023
10,7,2,,,,,5.0,,,,1,1,1092.81,3.0,,2,3.0,4.0,가족,싱가포르,1,1,6.996507639579928,2023
10,7,2,,2.0,3.0,4.0,,,,,1,1,4743.8,3.0,,15,4.0,3.0,가족,싱가포르,1,1,8.464593781272846,2023
5,15,1,1.0,,,,,,,,1,1,486.78,,,5,11.0,6.0,혼자,홍콩,0,0,6.187812275635029,2023
1,24,2,,,,4.0,,,,,1,2,1010.8,3.0,,3,2.0,,가족,중국,1,1,6.918497375514039,2023
10,6,2,,2.0,3.0,4.0,,,,,1,1,1583.34,3.0,,2,15.0,3.0,가족,싱가포르,1,1,7.367291818878028,2023
10,7,2,,,3.0,4.0,,,,,2,2,2210.46,3.0,,15,2.0,1.0,가족,싱가포르,1,0,7.700955917649056,2023
1,6,1,1.0,,,,,,,,1,2,1083.0,,,1,2.0,,혼자,중국,0,0,6.9874902470009905,2023
6,8,2,,2.0,,,,,,,1,1,960.93,,,2,1.0,4.0,가족,태국,0,0,6.86790156552643,2023
6,17,1,1.0,,,,,,,,1,1,2225.3,3.0,,10,3.0,2.0,혼자,태국,1,1,7.7076470169720706,2023
6,4,2,,,,,,6.0,,,1,1,1325.07,,,2,7.0,,친구,태국,0,0,7.189220567213536,2023
1,6,1,1.0,,,,,,,,1,1,5000.0,,,8,10.0,2.0,혼자,중국,0,0,8.517193191416238,2023
2,7,2,,,,,,6.0,,,1,1,779.0,,,2,1.0,4.0,친구,일본,0,0,6.658011045870748,2023
6,6,2,,,,,5.0,,,,1,1,1502.8,,,5,2.0,1.0,가족,태국,0,0,7.3150853136998135,2023
1,11,1,1.0,,,,,,,,1,2,736.44,,,2,1.0,,혼자,중국,0,0,6.601827766189006,2023
6,5,2,,,3.0,,,,,,1,1,752.85,3.0,,2,1.0,3.0,가족,태국,1,1,6.623866004769052,2023
4,5,2,,2.0,,,,,,,1,1,1365.0,3.0,12.0,11,2.0,1.0,가족,미국,1,0,7.21890970761906,2023
1,13,1,1.0,,,,,,,,1,2,1351.07,,,13,1.0,2.0,혼자,중국,0,0,7.20865215008943,2023
1,15,2,,,,4.0,,,,,1,2,1724.22,,,11,2.0,,가족,중국,0,0,7.452530053290965,2023
4,13,2,,2.0,,,,,,,1,2,980.0,3.0,,4,2.0,3.0,가족,미국,1,1,6.887552571664617,2023
7,4,2,,,3.0,,,6.0,,,3,1,1265.0,,12.0,8,1.0,2.0,가족,베트남,1,0,7.142827401161621,2023
4,6,1,1.0,,,,,,,,1,2,930.0,,,1,10.0,5.0,혼자,미국,0,0,6.835184586147301,2023
7,5,2,,,,,,6.0,,,3,1,1302.0,3.0,,11,2.0,6.0,친구,베트남,1,0,7.171656822768514,2023
4,3,2,,,,,5.0,,,,1,1,520.0,3.0,,3,4.0,1.0,가족,미국,1,1,6.253828811575473,2023
4,8,1,1.0,,,,,,,,1,2,3900.0,3.0,,6,3.0,1.0,혼자,미국,1,1,8.268731832117737,2023
4,28,1,1.0,,,,,,,,1,2,4250.0,,12.0,1,2.0,12.0,혼자,미국,1,1,8.354674261918463,2023
7,4,2,,,,4.0,,,,,3,1,1320.0,,,4,5.0,2.0,가족,베트남,0,0,7.1853870155804165,2023
16,15,2,,,,,5.0,,,,1,2,698.41,3.0,,4,3.0,6.0,가족,영국,1,1,6.548806322865038,2023
1,5,1,1.0,,,,,,,,1,1,9549.51,,12.0,12,5.0,2.0,혼자,중국,1,1,9.164245123257906,2023
2,3,2,,,,,,6.0,,,1,1,342.0,,12.0,2,12.0,1.0,친구,일본,1,1,5.834810737062605,2023
4,8,1,1.0,,,,,,,,1,2,2800.0,,,4,,,혼자,미국,0,0,7.937374696163295,2023
10,6,2,,,,,5.0,,,,1,1,968.63,3.0,,7,8.0,2.0,가족,싱가포르,1,0,6.875882702027173,2023
6,4,1,1.0,,,,,,,,1,2,1141.55,,,4,2.0,1.0,혼자,태국,0,0,7.0401422670254625,2023
3,5,2,,2.0,,,,,,,1,1,1507.75,,,1,7.0,9.0,가족,대만,0,0,7.318373752331096,2023
5,6,2,,,,,5.0,,,,3,1,2690.1,,,15,2.0,1.0,가족,홍콩,0,0,7.8973336466261115,2023
3,4,2,,,,,,6.0,,,1,1,1279.55,,,5,2.0,1.0,친구,대만,0,0,7.15426373260108,2023
10,4,2,,,,,5.0,,,,1,1,992.85,3.0,,3,1.0,2.0,가족,싱가포르,1,1,6.900579595233041,2023
3,4,2,,,,,,6.0,,,1,1,1307.91,3.0,,1,3.0,2.0,친구,대만,1,1,7.176185722310361,2023
5,5,2,,,3.0,,,,,,3,1,2818.2,3.0,,2,11.0,5.0,가족,홍콩,1,0,7.943853662261004,2023
10,5,2,,,,,5.0,,,,1,1,782.36,3.0,,1,2.0,3.0,가족,싱가포르,1,1,6.662314992669317,2023
4,11,2,,2.0,,,,,,,1,2,1500.0,3.0,,4,3.0,2.0,가족,미국,1,1,7.313220387090301,2023
3,5,2,,,,,,6.0,,,3,1,2608.0,3.0,,3,1.0,,친구,대만,1,1,7.866338923046544,2023
4,5,1,1.0,,,,,,,,1,2,600.0,,,2,11.0,1.0,혼자,미국,0,0,6.396929655216146,2023
10,5,2,,,3.0,,5.0,,,,1,1,654.45,,,4,1.0,8.0,가족,싱가포르,0,0,6.483795188237728,2023
3,6,2,,,,,,6.0,,,3,1,1890.8,3.0,,8,3.0,15.0,친구,대만,1,1,7.544755298919081,2023
3,7,2,,,3.0,,5.0,,,,1,1,1532.2,3.0,,1,4.0,3.0,가족,대만,1,1,7.33445989008272,2023
3,7,2,,,,,5.0,,,,1,1,566.42,,,2,15.0,4.0,가족,대만,0,0,6.339335852490564,2023
3,4,2,,,,,5.0,,,,1,2,2102.7,,,1,2.0,6.0,가족,대만,0,0,7.650977512174388,2023
3,8,2,,,,,,,7.0,,1,1,658.52,,,15,1.0,,직장동료,대만,0,0,6.489994892779821,2023
3,3,2,,,3.0,,,,,,1,1,923.67,,,1,2.0,7.0,가족,대만,0,0,6.828354864993842,2023
2,8,1,1.0,,,,,,,,1,2,615.6,,12.0,12,1.0,2.0,혼자,일본,1,1,6.422597401964724,2023
2,3,2,,,,,,6.0,,,1,1,440.8,,,14,2.0,1.0,친구,일본,0,0,6.088591257838705,2023
2,3,2,,,,,,6.0,,,1,1,501.6,,,2,1.0,,친구,일본,0,0,6.217802989318711,2023
1,15,2,,2.0,,,,,,,1,2,1436.78,,,2,11.0,1.0,가족,중국,0,0,7.270159777629227,2023
6,6,2,,,,,,6.0,,,1,1,1300.5,,,15,1.0,4.0,친구,태국,0,0,7.170504084888706,2023
1,22,1,1.0,,,,,,,,1,2,4941.06,3.0,,1,3.0,6.0,혼자,중국,1,1,8.505335162062853,2023
6,6,1,1.0,,,,,,,,1,1,2832.2,,,1,2.0,4.0,혼자,태국,0,0,7.948809073788959,2023
1,31,1,1.0,,,,,,,,1,2,1026.81,,,2,10.0,,혼자,중국,0,0,6.934212187944497,2023
18,6,2,,2.0,,,5.0,,,,1,1,355.69,,,4,1.0,5.0,가족,독일,0,0,5.874059564980357,2023
6,5,1,1.0,,,,,,,,1,2,754.29,,,5,6.0,4.0,혼자,태국,0,0,6.625776909447034,2023
3,5,2,,,3.0,,,,,,3,1,4792.2,,,4,1.0,2.0,가족,대만,0,0,8.474744875151398,2023
3,5,2,,,3.0,,,,,,3,1,2608.0,3.0,,1,2.0,3.0,가족,대만,1,1,7.866338923046544,2023
4,5,1,1.0,,,,,,,,1,1,1430.0,3.0,12.0,6,3.0,4.0,혼자,미국,1,1,7.265429723253953,2023
6,4,2,,,,,,,7.0,,1,1,289.0,3.0,,3,4.0,2.0,직장동료,태국,1,1,5.666426688112432,2023
6,4,2,,,,,,6.0,,,3,1,1142.13,3.0,,2,3.0,11.0,친구,태국,1,1,7.040650219113733,2023
6,4,1,1.0,,,,,,,,3,1,1031.73,3.0,,1,3.0,10.0,혼자,태국,1,1,6.93899228390398,2023
1,31,1,1.0,,,,,,,,1,1,849.24,,,1,,,혼자,중국,0,0,6.744341831875694,2023
16,11,1,1.0,,,,,,,,1,1,2289.88,,,4,5.0,10.0,혼자,영국,0,0,7.736254693428541,2023
3,5,2,,2.0,,,,,,,3,1,815.0,,,2,11.0,,가족,대만,0,0,6.703188113240863,2023
10,5,2,,,3.0,,,,,,1,1,745.1,3.0,,2,7.0,3.0,가족,싱가포르,1,1,6.613518437559682,2023
1,22,1,1.0,,,,,,,,1,2,9549.51,,,19,,,혼자,중국,0,0,9.164245123257906,2023
3,6,2,,,,4.0,5.0,,,,1,1,1054.07,,,2,1.0,11.0,가족,대만,0,0,6.960414140558257,2023
1,8,1,1.0,,,,,,,,1,1,2238.2,3.0,,4,3.0,,혼자,중국,1,1,7.713427250383926,2023
4,25,2,,2.0,,,,,,,1,2,2760.0,3.0,,3,5.0,9.0,가족,미국,1,1,7.9229859587111955,2023
5,6,2,,2.0,,4.0,,,,,3,1,1537.2,,,11,5.0,2.0,가족,홍콩,0,0,7.337717858690689,2023
3,4,2,,2.0,,,,,,,1,1,700.9,,,1,2.0,6.0,가족,대만,0,0,6.552365223506279,2023
3,4,2,,,,4.0,,,,,2,1,1209.46,,,15,2.0,,가족,대만,0,0,7.097929257986052,2023
5,11,2,,,3.0,,,,,,1,1,1985.55,,,1,,,가족,홍콩,0,0,7.59365123282789,2023
3,3,2,,,3.0,,,,,,3,1,1263.25,,,11,1.0,7.0,가족,대만,0,0,7.141443044172018,2023
4,10,1,1.0,,,,,,,,1,2,1790.0,3.0,,1,4.0,3.0,혼자,미국,1,1,7.489970898834801,2023
3,5,2,,,3.0,,5.0,,,,3,1,1369.2,3.0,,2,11.0,1.0,가족,대만,1,0,7.221981906656031,2023
12,55,1,1.0,,,,,,,,1,1,9549.51,,,4,11.0,6.0,혼자,중동,0,0,9.164245123257906,2023
6,5,1,1.0,,,,,,,,1,2,1300.5,3.0,,4,2.0,3.0,혼자,태국,1,1,7.170504084888706,2023
1,8,2,,2.0,,,,,,,1,2,1155.2,,,2,1.0,6.0,가족,중국,0,0,7.052028768138562,2023
5,5,2,,,3.0,,5.0,,,,1,1,298.9,,,4,1.0,2.0,가족,홍콩,0,0,5.700109069289892,2023
5,8,2,,2.0,,4.0,,,,,3,1,2984.73,,,15,2.0,11.0,가족,홍콩,0,0,8.001264569474344,2023
12,15,2,,,,,,6.0,,,1,1,4040.0,3.0,,6,5.0,4.0,친구,중동,1,0,8.303999970955196,2023
2,8,1,1.0,,,,,,,,1,2,1223.6,3.0,12.0,2,6.0,1.0,혼자,일본,1,0,7.109552612276748,2023
1,21,1,1.0,,,,,,,,1,2,6948.36,,,19,,,혼자,중국,0,0,8.846260939490227,2023
5,7,2,,,,4.0,5.0,,,,3,1,2405.72,,,15,5.0,2.0,가족,홍콩,0,0,7.785604514035096,2023
5,7,2,,,3.0,,5.0,,,,1,1,1625.92,3.0,,3,2.0,4.0,가족,홍콩,1,1,7.393829088405367,2023
5,5,2,,2.0,,4.0,5.0,,,,1,1,768.6,,,11,6.0,9.0,가족,홍콩,0,0,6.644570678130743,2023
1,31,1,1.0,,,,,,,,1,1,2161.71,,,2,1.0,,혼자,중국,0,0,7.6786548541421125,2023
4,6,2,,2.0,,,,,,,1,2,525.0,,,1,2.0,,가족,미국,0,0,6.263398262591624,2023
2,3,2,,,,,,6.0,,,1,1,733.4,,,2,1.0,,친구,일본,0,0,6.597691255637225,2023
5,6,2,,,3.0,,5.0,,,,3,1,1306.62,,,6,1.0,11.0,가족,홍콩,0,0,7.175198929192914,2023
16,6,2,,,,,5.0,,,,1,1,320.25,,,2,1.0,4.0,가족,영국,0,0,5.769101940776844,2023
6,5,2,,,,,,,7.0,,3,1,260.1,3.0,,4,3.0,2.0,직장동료,태국,1,1,5.5610661724546055,2023
1,10,1,1.0,,,,,,,,1,2,1212.1,,,2,1.0,13.0,혼자,중국,0,0,7.100109671476466,2023
5,5,2,,2.0,,4.0,,,,,1,1,619.15,3.0,,15,3.0,2.0,가족,홍콩,1,1,6.428347569661107,2023
4,52,1,1.0,,,,,,,,1,2,2440.0,,,1,2.0,,혼자,미국,0,0,7.799753318287247,2023
4,11,1,1.0,,,,,,,,1,1,1860.0,,,4,6.0,10.0,혼자,미국,0,0,7.528331766707247,2023
10,6,2,,2.0,,4.0,,,,,1,1,452.03,3.0,,2,11.0,3.0,가족,싱가포르,1,1,6.113748549311144,2023
4,7,1,1.0,,,,,,,,1,2,570.0,,,6,5.0,1.0,혼자,미국,0,0,6.345636360828596,2023
1,3,1,1.0,,,,,,,,1,2,1465.66,,,2,1.0,6.0,혼자,중국,0,0,7.290060931946522,2023
3,7,2,,,,,5.0,,,,1,1,1548.5,3.0,,2,3.0,1.0,가족,대만,1,1,7.345041999413257,2023
4,7,2,,,,,,6.0,,,1,2,1510.0,,12.0,10,1.0,5.0,친구,미국,1,0,7.31986492980897,2023
4,6,2,,2.0,,4.0,,,,,1,2,1100.0,3.0,,6,3.0,4.0,가족,미국,1,1,7.003065458786462,2023
4,5,2,,,3.0,,,,,,1,2,2000.0,3.0,,6,10.0,3.0,가족,미국,1,1,7.600902459542082,2023
6,5,2,,,,,5.0,,,,1,1,722.5,3.0,,2,1.0,3.0,가족,태국,1,1,6.582717419986587,2023
6,16,2,,2.0,,,,,,,1,2,901.63,,,2,1.0,4.0,가족,태국,0,0,6.8042042363512305,2023
2,15,1,1.0,,,,,,,,1,1,3876.0,,12.0,12,13.0,1.0,혼자,일본,1,1,8.262558973010657,2023
10,10,2,,2.0,,,,6.0,,,2,1,2481.18,3.0,12.0,2,5.0,3.0,가족,싱가포르,1,1,7.816489532450644,2023
4,7,2,,,,,,6.0,,,1,1,835.0,3.0,,7,2.0,5.0,친구,미국,1,0,6.727431724850855,2023
4,7,1,1.0,,,,,,,,1,1,1020.0,,,1,5.0,4.0,혼자,미국,0,0,6.927557906278317,2023
10,7,2,,2.0,3.0,,,,,,1,1,1070.0,3.0,,3,1.0,2.0,가족,싱가포르,1,1,6.975413927455952,2023
2,3,2,,,,,,6.0,,,1,1,661.2,,,2,1.0,,친구,일본,0,0,6.494056365946869,2023
10,6,2,,,,,,6.0,,,1,1,1788.24,3.0,,1,15.0,10.0,친구,싱가포르,1,0,7.488987174913582,2023
10,6,2,,,3.0,,,,,,1,1,2235.3,,,4,5.0,2.0,가족,싱가포르,0,0,7.712130726227792,2023
1,15,2,,2.0,,,,,,,1,2,694.84,,,19,,,가족,중국,0,0,6.543681603233723,2023
4,34,1,1.0,,,,,,,,1,2,856.0,,,1,2.0,11.0,혼자,미국,0,0,6.752270376141742,2023
4,5,2,,,,,,6.0,,,1,2,300.0,,,5,4.0,6.0,친구,미국,0,0,5.703782474656201,2023
6,7,2,,,,,,6.0,,,1,1,433.5,3.0,,3,2.0,1.0,친구,태국,1,1,6.071891796220597,2023
4,16,1,1.0,,,,,,,,1,2,300.0,3.0,,3,2.0,4.0,혼자,미국,1,1,5.703782474656201,2023
7,6,2,,,,,5.0,,,,1,1,2026.61,3.0,12.0,1,2.0,12.0,가족,베트남,1,1,7.614119725374884,2023
6,8,2,,,,,5.0,,,,1,1,271.84,3.0,,2,5.0,3.0,가족,태국,1,1,5.605213657923621,2023
5,5,2,,,3.0,,,,,,2,1,1972.74,,,1,4.0,6.0,가족,홍콩,0,0,7.587178718322272,2023
3,7,2,,,3.0,,,,,,1,1,1149.15,,,2,1.0,,가족,대만,0,0,7.0467778176309395,2023
10,5,2,,,3.0,,,,,,1,1,1024.51,3.0,,3,2.0,1.0,가족,싱가포르,1,1,6.931969728490273,2023
6,4,2,,,,,,6.0,,,1,2,1445.0,3.0,,2,4.0,3.0,친구,태국,1,1,7.275864600546533,2023
6,6,2,,,,,,6.0,,,1,2,1372.75,3.0,,2,3.0,1.0,친구,태국,1,1,7.224571306158982,2023
4,15,2,,2.0,,,,,,,1,2,1100.0,,,6,2.0,,가족,미국,0,0,7.003065458786462,2023
6,6,1,1.0,,,,,,,,1,2,1300.5,3.0,,3,4.0,2.0,혼자,태국,1,1,7.170504084888706,2023
4,6,2,,2.0,,,,,,,1,2,1530.0,,12.0,2,1.0,12.0,가족,미국,1,1,7.333023014386481,2023
10,5,2,,,,4.0,,,,,1,1,496.73,3.0,12.0,12,4.0,3.0,가족,싱가포르,1,1,6.208046618920346,2023
4,9,2,,,,,,6.0,,,1,2,800.0,3.0,,2,10.0,6.0,친구,미국,1,0,6.684611727667927,2023
4,56,2,,2.0,,,,,,,1,2,1450.0,3.0,12.0,10,2.0,1.0,가족,미국,1,0,7.27931883541462,2023
5,11,2,,,,,5.0,,,,1,1,256.2,3.0,,6,2.0,3.0,가족,홍콩,1,1,5.545958389462633,2023
10,6,2,,,,,5.0,,,,1,1,2607.85,3.0,,15,3.0,2.0,가족,싱가포르,1,1,7.86628140605505,2023
4,6,2,,,,,,6.0,,,1,2,193.01,,12.0,1,5.0,12.0,친구,미국,1,1,5.262742001034116,2023
5,7,2,,,3.0,,,,,,1,1,1514.78,,,2,7.0,11.0,가족,홍콩,0,0,7.323025492877368,2023
4,3,2,,2.0,,,,,,,1,2,533.0,3.0,,1,3.0,2.0,가족,미국,1,1,6.278521424165844,2023
4,7,2,,,,,,6.0,,,1,1,400.0,,12.0,2,1.0,,친구,미국,1,0,5.991464547107982,2023
4,7,2,,,,,,6.0,,,1,1,470.0,,12.0,10,12.0,2.0,친구,미국,1,1,6.152732694704104,2023
3,4,2,,,,,5.0,6.0,,,1,1,1141.0,3.0,,3,2.0,1.0,가족,대만,1,1,7.039660349862076,2023
3,7,2,,,,,5.0,,,,1,1,468.63,,,5,7.0,1.0,가족,대만,0,0,6.149813544511027,2023
5,5,2,,2.0,,,,,,,1,1,1016.41,,,15,2.0,4.0,가족,홍콩,0,0,6.924032090043812,2023
5,5,2,,2.0,3.0,4.0,,,,,3,1,1296.37,3.0,,6,1.0,2.0,가족,홍콩,1,0,7.167323329993772,2023
10,5,2,,2.0,,4.0,,,,,1,1,536.1,3.0,,3,4.0,2.0,가족,싱가포르,1,1,6.284320710833492,2023
10,5,1,1.0,,,,,,,,1,2,753.3,,,1,2.0,11.0,혼자,싱가포르,0,0,6.624463554831649,2023
5,5,2,,2.0,,4.0,,,,,1,1,678.93,3.0,,15,3.0,2.0,가족,홍콩,1,1,6.5205180294607645,2023
10,5,2,,,,,,6.0,,,1,2,1337.45,3.0,12.0,12,2.0,3.0,친구,싱가포르,1,1,7.198520094893823,2023
3,5,2,,,,,5.0,,,,1,2,1434.4,,,2,1.0,,가족,대만,0,0,7.268501922290923,2023
10,7,2,,2.0,,,,,,,1,1,1291.26,3.0,,1,2.0,3.0,가족,싱가포르,1,1,7.163373764837549,2023
5,5,2,,2.0,,4.0,,,,,1,1,640.5,,,1,2.0,,가족,홍콩,0,0,6.4622491213367885,2023
3,7,2,,,3.0,,5.0,,,,1,1,575.0,3.0,,2,3.0,1.0,가족,대만,1,1,6.354370040797351,2023
3,6,2,,,,,,6.0,,,3,1,2291.78,,,15,2.0,,친구,대만,0,0,7.737084087189281,2023
3,5,2,,,,,,6.0,,,3,1,1420.0,,,15,2.0,1.0,친구,대만,0,0,7.258412150595307,2023
3,5,1,1.0,,,,,,,,1,1,932.36,,,10,1.0,2.0,혼자,대만,0,0,6.837719006198469,2023
2,3,2,,,,,,6.0,,,1,1,1090.6,,,1,2.0,13.0,친구,일본,0,0,6.994483282491961,2023
3,7,2,,,,,,6.0,,,1,1,2529.76,3.0,,3,1.0,4.0,친구,대만,1,1,7.835879715561835,2023
2,3,1,1.0,,,,,,,,1,1,532.0,,,1,2.0,,혼자,일본,0,0,6.2766434893416445,2023
2,4,1,1.0,,,,,,,,1,1,977.36,,,2,1.0,,혼자,일본,0,0,6.884855059095805,2023
2,3,2,,,,,,6.0,,,1,1,319.2,,,2,1.0,,친구,일본,0,0,5.765817865575654,2023
2,4,2,,,,,,6.0,,,2,1,1714.56,,12.0,2,11.0,12.0,친구,일본,1,1,7.446911766916189,2023
2,3,1,1.0,,,,,,,,2,1,1972.2,,,4,2.0,1.0,혼자,일본,0,0,7.586904949898229,2023
2,3,2,,,3.0,,,,,,2,1,1428.8,,,2,1.0,,가족,일본,0,0,7.264590210122234,2023
2,3,1,1.0,,,,,,,,1,1,763.8,3.0,,4,3.0,1.0,혼자,일본,1,1,6.6383059747914155,2023
2,7,1,1.0,,,,,,,,1,1,1535.2,,,4,1.0,2.0,혼자,일본,0,0,7.33641594469349,2023
2,5,1,1.0,,,,,,,,2,1,1054.88,,,1,4.0,2.0,혼자,일본,0,0,6.961182295364989,2023
2,3,2,,,,,,6.0,,,1,1,866.4,,,2,1.0,,친구,일본,0,0,6.764346695686781,2023
2,4,2,,,,,,6.0,,,1,1,627.0,,,1,2.0,,친구,일본,0,0,6.440946540632921,2023
2,3,2,,,,,5.0,,,,2,1,1105.8,,12.0,2,1.0,12.0,가족,일본,1,1,7.008324333903833,2023
2,3,2,,,,,,6.0,,,1,1,657.4,,,1,2.0,,친구,일본,0,0,6.488292661230119,2023
2,3,2,,,,,,,7.0,,3,1,1288.2,3.0,,1,3.0,4.0,직장동료,일본,1,1,7.161001174112791,2023
2,3,2,,,,,,,7.0,,3,1,1383.2,3.0,,1,2.0,6.0,직장동료,일본,1,0,7.232154934369081,2023
2,3,2,,,,,,6.0,,,2,1,2584.0,,12.0,1,2.0,12.0,친구,일본,1,1,7.857093864902493,2023
4,20,1,1.0,,,,,,,,1,2,4820.0,3.0,12.0,13,2.0,1.0,혼자,미국,1,0,8.480529207044645,2023
18,13,1,1.0,,,,,,,,1,1,324.26,,,5,6.0,4.0,혼자,독일,0,0,5.781545663121923,2023
2,3,1,1.0,,,,,,,,1,2,3800.0,3.0,,3,1.0,,혼자,일본,1,1,8.242756345714477,2023
1,7,1,1.0,,,,,,,,1,2,694.84,,,1,2.0,5.0,혼자,중국,0,0,6.543681603233723,2023
6,83,1,1.0,,,,,,,,1,2,8183.62,,12.0,10,12.0,1.0,혼자,태국,1,1,9.0098898744909,2023
1,6,2,,,,,,6.0,,,1,1,1631.72,,,7,1.0,,친구,중국,0,0,7.39738995217702,2023
6,33,1,1.0,,,,,,,,1,1,2890.0,3.0,,2,11.0,3.0,혼자,태국,1,1,7.969011781106478,2023
1,10,1,1.0,,,,,,,,1,1,1876.06,,,1,2.0,,혼자,중국,0,0,7.536929111997157,2023
1,3,2,,2.0,,,,,,,1,1,866.4,,,1,,,가족,중국,0,0,6.764346695686781,2023
7,6,2,,2.0,,4.0,5.0,,,,3,1,772.04,,,2,4.0,1.0,가족,베트남,0,0,6.649036362154007,2023
6,6,1,1.0,,,,,,,,1,2,1445.0,,,2,7.0,8.0,혼자,태국,0,0,7.275864600546533,2023
5,6,2,,2.0,3.0,4.0,5.0,,,,1,1,717.36,,,2,1.0,11.0,가족,홍콩,0,0,6.575577806643792,2023
5,4,2,,2.0,,,,6.0,,,1,1,1569.23,3.0,,1,2.0,3.0,가족,홍콩,1,1,7.358340332174572,2023
5,4,2,,,,,,6.0,,,1,1,909.51,3.0,,3,1.0,,친구,홍콩,1,1,6.8129059929499585,2023
7,5,2,,,3.0,,,,,,3,1,900.71,3.0,,3,1.0,4.0,가족,베트남,1,1,6.803183341203917,2023
5,34,2,,2.0,,4.0,,,,,1,1,1800.0,,,15,4.0,,가족,홍콩,0,0,7.495541943884256,2023
3,6,2,,2.0,,4.0,,,,,2,1,1782.13,3.0,,3,4.0,2.0,가족,대만,1,1,7.485564557109524,2023
1,6,1,1.0,,,,,,,,1,1,6187.54,,,2,1.0,8.0,혼자,중국,0,0,8.730292871502515,2023
7,7,2,,,,,5.0,,,,1,2,579.03,3.0,,3,13.0,4.0,가족,베트남,1,1,6.361354289702226,2023
18,4,1,1.0,,,,,,,,1,1,459.45,,12.0,1,2.0,4.0,혼자,독일,1,0,6.130030121946894,2023
2,3,2,,,,,,6.0,,,1,1,433.2,,,7,1.0,2.0,친구,일본,0,0,6.071199515126835,2023
5,4,2,,2.0,,,,,,,1,1,805.0,,,1,11.0,4.0,가족,홍콩,0,0,6.690842277418564,2023
6,35,2,,,,,,6.0,,,1,1,722.5,,,2,4.0,1.0,친구,태국,0,0,6.582717419986587,2023
3,4,2,,,3.0,,,,,,1,1,912.8,,,2,1.0,,가족,대만,0,0,6.816516798547866,2023
6,4,1,1.0,,,,,,,,1,1,867.0,3.0,,3,2.0,5.0,혼자,태국,1,1,6.7650389767805414,2023
