D_NAT,M일HAP,Q7A,Q7a_dk,Q7a2,Q7a3,Q7a4,Q7a5,Q7a6,Q7a7,Q7a8,D_GUB,D_MOK,총액1인TOT항공제외2,C문화서1인대체,C오락및1인대체,C미용서1인대체,weight,동행자유형,국가명,여가체험비율,log_총액,year
2,6,1,1.0,,,,,,,,1,1,532.8,1,1,1,814.697917,혼자,일본,0.005630630630630631,6.27814611922618,2023
2,5,2,,,,,,6.0,,,1,1,882.0,1,1,1,1322.730345,친구,일본,0.003401360544217687,6.782192056006791,2023
2,3,2,,,,,,6.0,,,1,1,219.6,1,1,3,814.697917,친구,일본,0.02276867030965392,5.391807709635375,2023
2,3,2,,,,,,6.0,,,2,1,601.2,1,1,1,814.697917,친구,일본,0.00499001996007984,6.3989276578788195,2023
2,4,1,1.0,,,,,,,,1,2,313.2,1,1,3,814.697917,혼자,일본,0.015964240102171137,5.746841964116648,2023
2,4,2,,,3.0,,,,,,1,1,216.72,2,1,1,1455.471851,가족,일본,0.01845699520118125,5.37860619777684,2023
3,5,2,,,,,,6.0,,,1,1,485.74,1,1,1,770.6015918,친구,대만,0.006176143615926216,6.185673501324075,2023
3,13,1,1.0,,,,,,,,1,1,1225.76,4,1,1,708.1535647,혼자,대만,0.004894922333898969,7.1113163387685105,2023
3,12,1,1.0,,,,,,,,1,2,596.58,2,1,1,708.1535647,혼자,대만,0.006704884508364343,6.391213348220037,2023
4,21,2,,2.0,3.0,4.0,,,,,1,2,575.0,3,3,1,765.0556104,가족,미국,0.01217391304347826,6.354370040797351,2023
4,7,1,1.0,,,,,,,,1,2,375.0,1,1,1,547.572947,혼자,미국,0.008,5.926926025970411,2023
3,5,2,,,,4.0,,,,,1,1,1018.75,3,1,1,970.9828264,가족,대만,0.0049079754601227,6.9263316645550725,2023
4,14,1,1.0,,,,,,,,1,2,660.0,1,1,1,797.2063668,혼자,미국,0.004545454545454545,6.492239835020471,2023
16,10,2,,,,,5.0,,,,1,2,2692.88,3,1,1,69.16589064,가족,영국,0.0018567481655328124,7.898366531848481,2023
10,4,2,,,,4.0,,,,,1,1,705.19,4,1,1,403.4823492,가족,싱가포르,0.008508345268651001,6.558467270048811,2023
16,11,2,,2.0,,,,,,,1,1,1847.44,3,1,1,121.0292217,가족,영국,0.0027064478413372016,7.52155617597564,2023
10,8,2,,,,4.0,,,,,1,1,1094.89,4,1,1,464.7780718,가족,싱가포르,0.005480002557334526,6.998409180583493,2023
16,43,2,,2.0,,,,,,,1,1,3175.09,2,1,1,347.1457586,가족,영국,0.0012598068086258972,8.063091257381732,2023
16,15,2,,,,,5.0,,,,1,1,2254.5,1,1,1,194.5397869,가족,영국,0.0013306719893546241,7.720683497861139,2023
1,5,2,,,,,,6.0,,,1,1,1136.15,1,1,1,1564.482728,친구,중국,0.002640496413325705,7.035400632817807,2023
16,15,2,,,,,5.0,,,,1,1,2354.7,4,1,1,194.5397869,가족,영국,0.0025480952987641738,7.764168609800878,2023
16,10,2,,,,,5.0,,,,1,1,2022.79,3,1,1,148.027009,가족,영국,0.002471833457748951,7.612233025551133,2023
18,14,2,,,,,5.0,6.0,,,1,1,4357.8,1,1,1,131.602349,가족,독일,0.0006884207627702051,8.379722621840177,2023
18,15,1,1.0,,,,,,,,1,2,2152.0,1,1,1,195.4331505,혼자,독일,0.0013940520446096654,7.674152921281675,2023
18,15,2,,,,,,6.0,,,1,1,3604.6,3,1,1,131.602349,친구,독일,0.0013871164622981747,8.189966086558705,2023
18,17,2,,,,4.0,,,,,1,1,1990.6,3,1,1,128.3380274,가족,독일,0.0025118054857831812,7.596191379811963,2023
3,5,1,1.0,,,,,,,,3,1,1304.0,1,1,4,708.1535647,혼자,대만,0.004601226993865031,7.1731917424865985,2023
3,5,2,,,,,,,7.0,,3,1,1678.9,1,1,1,1082.880319,직장동료,대만,0.0017868842694621478,7.425894096042352,2023
3,11,2,,,,,,6.0,,,1,1,1369.2,1,1,1,708.1535647,친구,대만,0.0021910604732690623,7.221981906656031,2023
18,24,1,1.0,,,,,,,,1,1,3556.18,3,3,1,131.602349,혼자,독일,0.001968404298994989,8.176442214025379,2023
1,31,1,1.0,,,,,,,,1,2,1097.46,4,1,1,1160.470675,혼자,중국,0.005467169646274124,7.000753697815889,2023
3,5,2,,,3.0,,5.0,,,,3,1,945.43,1,1,1,770.6015918,가족,대만,0.003173159303174217,6.8516398504556255,2023
4,5,1,1.0,,,,,,,,1,1,2200.0,1,1,1,705.030829,혼자,미국,0.0013636363636363637,7.696212639346407,2023
3,4,2,,,,4.0,,,,,1,1,1054.07,1,1,1,673.7355008,가족,대만,0.0028461107896060036,6.960414140558257,2023
1,31,2,,2.0,,,,,,,1,1,984.9,2,3,1,815.4390642,가족,중국,0.006091989034419738,6.892540113175657,2023
5,4,2,,,,,5.0,,,,1,1,561.88,1,1,1,448.5235056,가족,홍콩,0.0053392183384352535,6.331288303962709,2023
5,5,2,,,3.0,,5.0,,,,1,1,825.79,1,1,2,352.6533451,가족,홍콩,0.004843846498504462,6.7163405039090645,2023
1,8,1,1.0,,,,,,,,1,2,144.4,1,1,1,1747.895395,혼자,중국,0.02077562326869806,4.972587226458726,2023
4,5,2,,2.0,,4.0,,,,,1,1,473.33,1,1,1,547.572947,가족,미국,0.006338072803329601,6.159792819648879,2023
4,8,2,,,3.0,,5.0,,,,1,1,1075.0,2,1,1,547.572947,가족,미국,0.0037209302325581397,6.980075940561763,2023
5,6,2,,,,,,6.0,,,1,1,1208.04,3,2,1,441.4699474,친구,홍콩,0.0049667229561935035,7.0967544905293325,2023
1,8,1,1.0,,,,,,,,1,1,2335.62,1,1,1,1303.52377,혼자,중국,0.0012844555193053666,7.756032659482841,2023
5,5,2,,,,,,6.0,7.0,,1,1,1225.92,1,1,1,371.8920806,친구,홍콩,0.0024471417384494907,7.111446861512285,2023
1,8,1,1.0,,,,,,,,1,1,844.2,1,1,1,1303.52377,혼자,중국,0.0035536602700781805,6.738389433348399,2023
5,5,2,,,,,,6.0,,,1,1,842.82,1,1,1,605.6671873,친구,홍콩,0.0035594788922901684,6.736753412070874,2023
4,8,2,,,,,5.0,,,,1,1,870.0,1,1,1,1266.653526,가족,미국,0.0034482758620689655,6.76849321164863,2023
1,4,2,,,,,,6.0,,,1,1,6415.92,1,1,1,1564.482728,친구,중국,0.00046758687764186584,8.766537680640683,2023
2,4,2,,,,,,6.0,,,1,1,921.6,1,1,4,1623.129657,친구,일본,0.006510416666666666,6.826111289941627,2023
1,8,1,1.0,,,,,,,,1,1,3025.05,3,1,1,1012.205859,혼자,중국,0.001652865241896828,8.01468289925396,2023
1,3,1,1.0,,,,,,,,1,1,1257.86,1,1,1,1564.482728,혼자,중국,0.002385003100504031,7.137167143309097,2023
1,5,2,,,,,,6.0,,,1,1,329.94,1,1,1,1564.482728,친구,중국,0.009092562284051645,5.798910819747778,2023
6,6,2,,,,4.0,,,,,1,2,924.8,2,1,1,338.9597385,가족,태국,0.004325259515570935,6.829577497918113,2023
10,12,2,,2.0,,,,,,,1,1,1800.08,2,1,1,302.2720467,가족,싱가포르,0.0022221234611795033,7.495586387341075,2023
1,3,2,,,,,5.0,,,,1,2,290.78,1,1,1,1564.482728,가족,중국,0.010317078203452783,5.672566967503279,2023
10,11,2,,2.0,,4.0,,,,,1,1,1061.49,3,1,1,305.2092888,가족,싱가포르,0.004710359965708579,6.967428860467754,2023
10,9,2,,,3.0,4.0,5.0,,,,1,1,1618.21,3,4,1,356.8696634,가족,싱가포르,0.004943734125978705,7.389075879060491,2023
4,13,2,,,,,,6.0,,,1,1,1770.0,2,1,1,547.572947,친구,미국,0.0022598870056497176,7.478734825567875,2023
4,30,2,,2.0,,4.0,,,,,1,2,1460.0,3,1,1,797.2063668,가족,미국,0.003424657534246575,7.286191714702382,2023
10,12,1,1.0,,,,,,,,1,1,1655.33,4,1,1,356.8696634,혼자,싱가포르,0.0036246549026478104,7.411755663704861,2023
5,5,2,,,,,,,7.0,,3,1,3837.39,1,1,1,371.8920806,직장동료,홍콩,0.0007817813670228983,8.252547726989505,2023
